word,ann1
Výsledky,0
práce,0
domácích,1
řemeslníků,0
a,0
rovněž,0
"prospektorů,",0
kteří,0
již,0
tenkrát,0
křižovali,0
krajinou,0
a.1,0
hledali,0
ložiska,0
železných,0
i,0
barevných,1
a.2,0
cenných,0
"kovů,",0
se,0
směňovaly,0
na,0
tržištích,0
v,0
podhradí,0
velkých,0
ústředí,0
a.3,0
na.1,0
všeobecně,0
známých,0
a.4,0
přístupných,0
místech.,0
Vedle,0
trhu,0
"domácího,",1
který,0
asi,0
při,0
všeobecně.1,0
samozásobitelské,0
povaze,0
české,0
společnosti,0
desátého,0
století,0
příliš,0
velkého,0
obratu,1
"nedociloval,",1
víme,0
v.1,0
českých,0
zemích,0
již.1,0
od,1
samého,1
počátku,0
tohoto,0
věku,0
o,1
přítomnosti,0
dálkového,0
obchodu,0
mezinárodního.,0
Zdá,1
"se,",1
že,0
onou,0
dobou,0
opouštěly,1
Čechy,0
především,0
suroviny,0
a.5,0
"polotovary,",0
například,0
právě,1
uvedený,1
"vosk,",0
a.6,0
případně,0
též,0
"zboží,",0
která,0
naším,0
územím,0
procházela,1
jako,0
zásilky,0
tranzitního,0
"obchodu,",0
třeba,0
saská,0
sůl,0
ze,0
solivarů,0
v.2,0
okolí,0
Halle,0
an,0
der,0
Saale.,0
Již,0
od.1,1
doby,0
kolem,1
roku,0
900,0
však,0
naši,0
podnikatelé,0
nabízeli,0
na.2,1
zahraničních,0
trzích,0
"„zboží“,",1
se.1,0
kterým,0
nemohli,0
neuspět -,0
otroky,0
a.7,0
otrokyně.,0
O,1
tom,0
uslyšíme,0
více,0
později.,0
V,0
zemi,0
obíhala,0
celá,0
řada,1
směnných,0
"prostředků,",0
užívaných,0
jako.1,0
všeobecné,0
hodnotové,0
ekvivalenty,0
nabízených,0
zboží.,0
Vedle.1,1
stůčků,0
hedvábí,0
a.8,0
ingotů,0
z,1
různých,0
kovů,0
standardní,0
váhy,0
to,0
byly,0
především.1,0
pověstné,0
"šátečky,",1
o.1,0
nichž,0
se.2,0
zmiňuje,0
emisar,0
córdobského,0
chalífátu,0
Ibráhím,0
ibn,0
"Ja’kúb,",0
který.1,0
navštívil,1
české.1,0
země,0
někdy,0
v.3,1
šedesátých,0
letech,0
desátého.1,0
století.,0
Z,1
jeho,0
zprávy,0
se.3,0
zachoval,0
"úryvek,",0
který.2,0
"popisuje,",1
jak,0
čeští,0
Slované,0
užívají,0
při.1,1
obchodu.1,0
zvláštních,0
textilních,0
výrobků,0
standardní.1,0
"velikosti,",0
tkaných,0
tak,0
"řídce,",0
že.1,0
se.4,0
nehodí,0
v.4,1
praxi,0
k,1
ničemu,0
jinému,0
než,0
právě.1,1
ke,1
směňování.,0
Podle,1
córdobského.1,0
cestovatele,0
byl,0
poměr,0
oněch,0
šátečků,1
k.1,1
minci,0
ustálen,0
a.9,0
tento,0
všeobecně.2,0
známý,0
poměr.1,0
sloužil,0
k.2,1
rychlému,1
přepočtu,0
cen,0
jednotlivých,0
druhů,0
zboží,0
v.5,1
libovolné,0
podobě,0
oběživa.,0
Zdá.1,1
"se,.1",1
že.2,0
Čechové,0
desátého.2,0
století.1,0
užívali,0
oněch.1,0
šátečků.1,1
co,0
"„drobných“,",1
neboť,0
stříbrná,0
mince,0
měla,0
podle,1
Ibráhímových,0
údajů,0
hodnotu,0
poměrně,0
vysokou.,1
Právě,1
tento.1,0
údaj,0
způsobuje,1
však.1,0
badatelům,0
jisté,1
"rozpaky,",0
neboť.1,0
si,0
"povšimli,",0
že.3,0
kdyby,0
Ibráhímem,0
uváděné,1
ceny,0
opravdu,0
"platily,",1
bylo,0
by,0
v.6,0
Čechách,0
desátého.3,0
století.2,0
obilí,0
levnější,0
než.1,0
v.7,0
Egyptě!,0
Kromě,0
těchto,0
různých.1,0
podob,1
oběživa,0
se.5,0
u,1
nás,0
ovšem,0
nakupovalo,0
i.1,0
za,1
stříbrnou,0
minci.1,0
"západní,",0
karlovské,0
váhové,0
soustavy.,0
První,0
