word,ann1,ann2,ann3
Ráno,1.0,1.0,1.0
nám,,,
přijeli,,,
odpojit,,,
"elektřinu,",,,
protože,,,
nemáme,,,
zaplacené,,,
účty.,,,
Josef,,,
se,,,
nás,,,
snažil,,,
"přesvědčit,",,,
že,,,
elektřinu,,,
vlastně,,,
dohromady,1.0,1.0,1.0
na,0.0,0.0,0.0
nic,,,
nepotřebujeme,,,
a,,,
kromě,,,
toho,,,
je,,,
předražená.,,,
Topit,,,
můžeme,,,
v,,,
kachlových,,,
"kamnech,",,,
svítit,,,
petrolejovými,,,
lampami,,,
a.1,,,
vodu,,,
ohřívat,,,
v.1,,,
"kotli,",,,
jak,,,
se.1,,,
to,,,
na.1,,,
Kostce,,,
dělávalo,,,
až,,,
do,0.0,0.0,0.0
roku,,,
1927.0,,,
Svůj,,,
proslov,,,
zakončil,,,
odvážným,,,
"tvrzením,",,,
že.1,,,
elektrický,,,
proud,0.0,0.0,0.0
působí,1.0,1.0,1.0
na.2,0.0,0.0,0.0
psychiku,,,
a.2,,,
dělá,1.0,1.0,1.0
lidi,,,
nervózními.,,,
Mě,,,
ovšem,,,
mnohem,,,
víc,,,
znervóznila,1.0,1.0,1.0
"představa,",,,
jak.1,,,
si,,,
suším,,,
vlasy,,,
nad,,,
ohněm.,,,
Na,,,
moji,,,
stranu,0.0,0.0,0.0
se.2,,,
přidal,,,
i,,,
dosud,,,
k,0.0,0.0,0.0
Josefovi,,,
zcela,,,
loajální,,,
a.3,,,
submisivní,,,
pan,,,
"Spock,",,,
který,,,
se.3,,,
odvážil,,,
"namítnout,",,,
že.2,,,
obsluha,,,
kachlových.1,,,
kamen,,,
čítala,1.0,1.0,1.0
tři,,,
"lidi,",,,
kteří,,,
celou,,,
zimu,,,
nedělali,,,
nic.1,,,
"jiného,",,,
než,,,
běhali,1.0,1.0,1.0
po,,,
zámku,,,
a.4,,,
přikládali.,0.0,0.0,0.0
Už,,,
dost,,,
na.3,,,
"tom,",,,
že.3,,,
jako,,,
hypertonik,,,
musí,,,
topit,,,
ve,,,
skleníku.,,,
Matce,,,
jsem,,,
Josefovo,,,
blouznění,,,
překládala,1.0,1.0,1.0
raději,,,
jen,,,
"namátkově,",,,
protože.1,,,
jsem.1,,,
se.4,,,
"obávala,",,,
že.4,,,
by,,,
s,0.0,0.0,0.0
jeho,,,
argumenty,,,
byla,,,
schopná,,,
souhlasit.,,,
Návratu,,,
Kostky,,,
do.1,0.0,0.0,0.0
devatenáctého,,,
století,,,
zabránila,,,
paní,,,
"Tichá,",,,
která,,,
pohrozila,,,
okamžitou,,,
"výpovědí,",,,
pokud,,,
jí,,,
nepojede,1.0,1.0,1.0
"vysavač,",,,
mražáky,,,
a.5,,,
umělá,,,
líheň,,,
na.4,0.0,0.0,0.0
kuřata.,,,
Otec,,,
tedy,,,
uprosil,,,
muže,,,
od,0.0,0.0,0.0
elektrárenské,,,
"společnosti,",,,
aby,,,
nám.1,,,
elektřinu.1,,,
"neodpojovali,",,,
oblekl,,,
si.1,,,
blejzr,,,
a.6,,,
odjel,,,
s.1,,,
nimi,,,
na.5,,,
ředitelství.,,,
Odpoledne,,,
jsem.2,,,
s.2,,,
paní.1,,,
Tichou,,,
vysávala,,,
Himmlerovo,,,
apartmá.,,,
Ty,,,
čtyři,,,
"místnosti,",,,
kde,,,
několikrát,,,
přenocoval,,,
Heinrich,,,
"Himmler,",,,
jsou,,,
mnohem.1,,,
útulnější,,,
než.1,,,
náš,,,
byt,,,
a.7,,,
hlavně -,,,
mají,,,
koupelnu!,,,
Požádala,,,
jsem.3,,,
"matku,",,,
aby.1,,,
se.5,,,
nad.1,0.0,0.0,0.0
touto,,,
