word,ann1,ann2,ann3,ann4
"Sháněl,",1,,,
zabíjel,0,,,
a,0,,,
smažil,0,,,
"kapry,",0,,,
kupoval,0,,,
a,0,,,
zdobil,0,,,
"stromek,",0,,,
pečlivě,0,,,
balil,0,,,
dárky,0,,,
a,0,,,
k,1,,,
večeři,0,,,
se,0,,,
převlékal,0,,,
do,0,,,
slavnostního.,0,,,
Všechny,0,,,
ty,0,,,
obvyklé,0,,,
věci.,0,,,
Když,0,,,
se,0,,,
před,1,,,
třemi,0,,,
lety,0,,,
"rozvedl,",0,,,
Vánoce,0,,,
pro,0,,,
něho,0,,,
prakticky,0,,,
ztratily,1,,,
smysl.,0,,,
Také,0,,,
letošní,0,,,
svátky,0,,,
klidu,0,,,
a,0,,,
míru,0,,,
byly,0,,,
jen,0,,,
nepříjemnou,0,,,
připomínkou,0,,,
"skutečnosti,",0,,,
že,0,,,
bez,0,,,
rodiny,0,,,
není,0,,,
jaksi,0,,,
co,0,,,
oslavovat.,0,,,
Oskar,0,,,
sice,0,,,
zrovna,0,,,
chodil,1,,,
s,0,,,
jistou,1,,,
mladou,0,,,
"dívkou,",0,,,
ale,0,,,
tu,0,,,
tak,0,,,
často,0,,,
přesvědčoval,0,,,
o,0,,,
své,0,,,
potřebě,0,,,
samoty,0,,,
a,0,,,
"nezávislosti,",0,,,
že,0,,,
ji,0,,,
po,0,,???,
pravdě,0,,???,
řečeno,0,,,
vůbec,0,,,
"nenapadlo,",1,,,
aby,0,,,
na,1,,,
Vánoce,0,,,
zůstala,0,,,
s,0,,,
"ním,",0,,,
a,0,,,
odjela,0,,,
na,1,,,
čtrnáct,0,,,
dní,0,,,
k,0,,,
rodičům,0,,,
na,1,,???,vs. do Prahy? + polák o pádech
Moravu.,0,,???,
Kdyby,0,,,
"mohl,",0,,,
nejradši,0,,,
by,0,,,
se,0,,,
na,1,,,
celý,1,,???,
ty,0,,,
slavný,1,,???,
Vánoce,0,,,
"vykašlal,",1,,,
říkal,0,,,
si,0,,,
Oskar -,0,,,
jenže,0,,,
nemohl.,0,,,
Jednak,0,,,
tu,0,,???,
byli,0,,,
rodiče,0,,,
a,0,,,
ostatní,0,,,
"příbuzní,",0,,,
a,0,,,
pak,0,,???,
tu,0,,,
byl,0,,,
jeho,0,,,
syn.,0,,,
Především,0,,???,
kvůli,0,,,
němu,0,,,
Oskar,0,,,
tradici,0,,,
"Vánoc,",0,,,
tu,0,,,
poloviční,0,,,
"mrtvolu,",1,,???,
každoročně,0,,,
s,1,,,
odporem,0,,,
resuscitoval:,1,,???,
za,0,,???,
jediné,0,,,
odpoledne,0,,,
nakoupil,0,,,
"dárky,",0,,,
uklidil,0,,,
jakž,0,,???,frazém nebo tak něco
takž,0,,???,
"byt,",0,,,
koupil,0,,,
pár,0,,,
smrkových,0,,,
"větví,",0,,,
strčil,0,,,
je,0,,,
do,0,,,
"vázy,",0,,,
vyštrachal,0,,,
několik,0,,,
zaprášených,0,,,
ozdob,0,,,
a,0,,,
dvě,0,,,
tři,0,,,
použitelné,0,,,
svíčky,0,,,
a,0,,,
bylo,0,,,
to.,0,,,
Syna,0,,,
(v,1,,,
listopadu,0,,,
mu,0,,,
bylo,0,,,
sedm),0,,,
mu,0,,,
tentokrát,0,,,
bývalá,0,,,
manželka,0,,,
přivezla,0,,,
už,0,,,
osmnáctého,0,,,
prosince,0,,,
"ráno,",0,,,
zítra,0,,,
v,1,,,
poledne,0,,,
si,0,,,
ho,0,,,
"vyzvedne,",1,,,
oznámila,0,,,
mu.,0,,,
"„Dobře,”",0,,,
řekl,0,,,
Oskar,0,,,
co,0,,???,
možná,0,,???,
klidně.,0,,,
Později,0,,,
to,0,,,
prý,0,,,
"nejde,",1,,,
odjíždějí,0,,,
na,1,,???,
"hory,",0,,,
dostalo,0,,,
se,0,,,
mu,0,,,
vysvětlení.,0,,,
Oskar,0,,,
lhostejně,0,,,
přikývl.,0,,,
Takže,0,,,
letos,0,,,
bude,0,,,
Štědrý,1,,,
den,0,,,
už,0,,,
osmnáctého.,0,,,
Příští,0,,,
rok,0,,,
možná,0,,,
už,0,,,
devátého…,0,,,
Ale,0,,,
"co,",0,,,
pomyslel,0,,,
si,0,,,
v,1,,???,
"duchu,",1,,???,
pokud,0,,,
jde,1,,???,
o,0,,???,
"něj,",0,,,
může,0,,,
ty,0,,,
podělaný,1,,,
Vánoce,0,,,
slavit,0,,,
třeba,0,,,
v,1,,,
červenci.,0,,,
Jemu,0,,,
je,1,,???,
to,0,,,
jedno.,1,,???,
„Hezký,0,,,
"Vánoce,”",0,,,
popřála,0,,,
mu,0,,,
"exmanželka,",0,,,
přibouchla,0,,,
dveře,0,,,
od,1,,,
auta,0,,,
a,0,,,
odjela.,0,,,
Sli,0,,,
se,0,,,
synem,0,,,
do,0,,,
"kina,",0,,,
po,1,,,
filmu,0,,,
si,0,,,
dali,0,,,
v,0,,,
pizzerii,0,,,
oběd,0,,,
a,0,,,
nakonec,0,,,
se,0,,,
stavili,0,,,
doma,0,,,
pro,0,,,
kapra.,0,,,
Oskar,0,,,
ho,0,,,
opatrně,0,,,
vyndal,0,,,
z,0,,,
"vany,",0,,,
zabalil,0,,,
ho,0,,,
do,0,,,
mokré,0,,,
utěrky,0,,,
a,0,,,
uložil,0,,,
do,0,,,
igelitové,0,,,
tašky.,0,,,
Potom,0,,,
šli,0,,,
k,0,,???,
"Vltavě,",0,,,
aby,0,,,
ho,0,,,
pustili,0,,,
na,1,,???,
svobodu -,0,,,
tuhle,0,,,
sentimentální,0,,,
kravinu,0,,,
podstupoval,1,,,
Oskar,0,,,
obzvláště,0,,,
"nerad,",0,,,
ale,0,,,
kvůli,0,,,
synovi,0,,,
se,0,,,
každý,0,,,
rok,0,,,
nakonec,0,,,
vždycky,0,,,
přemohl.,1,,,
Cestou,0,,,
se,0,,,
koulovali,0,,,
špinavým,0,,,
městským,0,,,
"sněhem,",0,,,
nahlíželi,0,,,
do,0,,,
osvětlených,0,,,
výloh,0,,,
přecpaných,0,,???,
obchodů,0,,,
a,0,,,
v,0,,,
jednom,0,,,
z,0,,,
nich,0,,,
společně,0,,,
vybrali,0,,,
dárek,0,,,
mámě.,0,,,
Než,0,,,
dorazili,0,,,
k,0,,,
"řece,",0,,,
setmělo,0,,,
se.,0,,,
Nábřeží,0,,,
bylo,0,,,
mizerně,0,,,
osvětlené,0,,,
a,0,,,
Oskar,0,,,
se,0,,,
"bál,",0,,,
aby,0,,,
syn,0,,,
nespadl,0,,,
do,0,,,
vody.,0,,,
Vybalil,0,,,
"kapra,",0,,,
volnou,0,,,
rukou,0,,,
objal,0,,,
chlapce,0,,,
kolem,0,,,
pasu,0,,,
a,0,,,
společně,0,,,
se,0,,,
naklonili,0,,,
nad,0,,,
černou,0,,,
hladinu.,0,,,
„Milý,0,,,
"kapříku,",0,,,
přejeme,0,,,
"ti,",0,,,
aby,0,,,
ses,0,,???,
tu,0,,???,
měl,0,,???,
moc,0,,,
krásně,0,,,
a,0,,,
našel,0,, ,
sis,0,,,
tu,0,,,
nové,0,,,
"kamarády,”",0,,,
popřál,0,,,
rybě,0,,,
s,0,,???,
dojemnou,0,,,
vážností,0,,,
syn.,0,,,
„Tak,0,,,
tě,0,,,
pic,0,,,
a,0,,,
děkuj,0,,,
"bohu,",0,,,
že,0,,,
jsme,0,,,
tě,0,,,
"nesežrali,”",0,,,
doplnil,0,,???,
Oskar.,0,,,
Syn,0,,,
se,0,,,
"rozesmál,",0,,,
ale,0,,,
potom,0,,,
už,0,,,
ze,0,,,
sebe,0,,,
smích,0,,,
křečovitě,0,,,
"nutil,",0,,,
což,0,,,
byla,0,,,
jedna,0,,,
z,0,,,
"věcí,",0,,,
které,0,,,
šly,1,,,
Oskarovy,0,,,
odjakživa,0,,,
na,1,,,
nervy.,1,,,
"„Raz,",0,,,
"dva,",0,,,
tři!”,0,,,
zvolal,0,,,
a,0,,,
s,0,,,
okázalým,0,,,
rozmachem,0,,,
hodil,0,,,
kapra,0,,,
do,0,,,
vody.,0,,,
„Tak,0,,,
plav,0,,,
a,0,,,
bud,0,,,
"rád,",0,,,
že,0,,,
jsme,0,,,
tě,0,,,
nesežrali!”,0,,,
vykřikl,0,,,
syn.,0,,,
Ryba,0,,,
se,0,,,
potopila,0,,,
a,0,,,
hned,0,,,
vzápětí,0,,,
zase,0,,,
"vynořila,",0,,,
avšak,0,,,
namísto,0,,,
očekávaného,0,,,
"bystrého,",0,,,
ne-li,0,,,
přímo,0,,???,
vděčného,0,,,
švihnutí,0,,,
ocasní,0,,,
ploutví,0,,,
se,0,,,
"pomalu,",0,,,
ale,0,,,
nezadržitelně,0,,,
otočila,0,,,
světlým,0,,,
břichem,0,,,
vzhůru.,0,,,
Dítě,0,,,
okamžitě,0,,,
zvážnělo,0,,,
a,0,,,
nervózně,0,,,
vzhlédlo,0,,,
k,0,,,
otci.,0,,,
„Není,0,,,
"mrtvej,",0,,,
že,0,,,
ne?”,0,,,
tázalo,0,,,
se,0,,,
s,1,,???,
úzkostí,0,,???,
v,0,,???,
hlase.,0,,,
Oskar,0,,,
se,0,,,
snažil,0,,,
skrýt,0,,,
paniku,0,,,
a,0,,,
s,0,,,
předstíraným,0,,,
klidem,0,,,
se,0,,,
"díval,",0,,,
jak,0,,,
ledový,0,,,
černý,0,,,
proud,0,,,
unáší,1,,,
nehybné,0,,,
rybí,0,,,
tělo,0,,,
kamsi,0,,,
k,0,,,
pilířům,0,,,
železničního,0,,,
mostu.,0,,,
"„Neboj,",0,,,
bude,0,,,
v,1,,,
"pohodě,”",0,,,
ujistil,0,,,
syna.,0,,,
„Za,1,,,
chvíli,0,,,
se,0,,,
vzpamatuje.”,0,,,
"„Určitě,",0,,,
tati?”,0,,,
řekl,0,,,
chlapec,0,,,
a,0,,,
zajíkl,0,,,
se.,0,,,
„Určitě,0,,,
se,0,,,
vzpamatuje?”,0,,,
Oskar,0,,,
jeho,0,,,
pohled,0,,,
nedokázal,0,,,
snést.,1,,,
„Určitě.,0,,,
Vždycky,0,,,
pár,0,,,
vteřin,0,,,
"trvá,",0,,,
než,0,,,
se,0,,,
mu,0,,,
zase,0,,,
okysličí,0,,,
krev.”,0,,,
"„Přísahej,”",0,,,
žádal,0,,,
ho,0,,,
syn.,0,,,
V,0,,,
jeho,0,,,
očích,0,,,
byly,0,,,
slzy.,0,,,
Oskar,0,,,
k,0,,,
němu,0,,,
přiklekl,0,,,
a,0,,,
uchopil,0,,,
ho,0,,,
za,0,,,
ramena.,0,,,
„Přísahám,0,,,
"ti,",0,,,
že,0,,,
se,0,,,
za,1,,,
chvíli,0,,,
vzpamatuje!”,0,,,
řekl,0,,,
s,0,,,
maximální,0,,,
možnou,0,,,
přesvědčivostí.,0,,,
V,1,,,
duchu,1,,,
se,0,,,
"modlil,",0,,,
aby,0,,,
toho,0,,,
leklýho,0,,,
chcípáka,0,,,
konečně,0,,,
ztratili,1,???,,frazém?
z,1,???,,
dohledu.,1,???,,
Ani,0,,,
večer,0,,,
se,0,,,
příliš,0,,,
nepovedl.,0,,,
