word,ann1,ann2,ann3,ann4,ann5,ann6
a,0.0,0.0,0.0,,,
co,0.0,0.0,0.0,,,
Nikolka,0.0,0.0,0.0,,,
kdyžs,0.0,0.0,0.0,,,
jí,0.0,0.0,0.0,,,
to,0.0,0.0,0.0,,,
"dala,",0.0,0.0,0.0,,,
"říká,",0.0,0.0,0.0,,,
já,0.0,0.0,0.0,,,
takový,0.0,0.0,0.0,,,
doma,0.0,0.0,0.0,,,
mám.,0.0,0.0,0.0,,,
já.1,0.0,0.0,0.0,,,
říkám.,0.0,0.0,0.0,,,
jo.,0.0,0.0,0.0,,,
přesně.,0.0,0.0,0.0,,,
"ano,",0.0,0.0,0.0,,,
a.1,0.0,0.0,0.0,,,
já.2,0.0,0.0,0.0,,,
sem,0.0,0.0,0.0,,,
jí.1,0.0,0.0,0.0,,,
a.2,0.0,0.0,0.0,,,
už,0.0,0.0,0.0,,,
předtým,0.0,0.0,0.0,,,
sem.1,0.0,0.0,0.0,,,
jí.2,0.0,0.0,0.0,,,
říkala.,0.0,0.0,0.0,,,
já.3,0.0,0.0,0.0,,,
sem.2,0.0,0.0,0.0,,,
ti,0.0,0.0,0.0,,,
kúpila,0.0,0.0,0.0,,,
takový.1,0.0,0.0,0.0,,,
oranžový,0.0,0.0,0.0,,,
nátělníček,0.0,0.0,0.0,,,
a.,0.0,0.0,0.0,,,
ona,0.0,0.0,0.0,,,
"říká,.1",0.0,0.0,0.0,,,
já.4,0.0,0.0,0.0,,,
sem.3,0.0,0.0,0.0,,,
si,0.0,0.0,0.0,,,
na,1.0,1.0,1.0,,0.0,
to.1,0.0,0.0,0.0,,,
akorát,0.0,0.0,0.0,,,
myslela.,0.0,0.0,0.0,,,
že,0.0,0.0,0.0,,,
bych,0.0,0.0,0.0,,,
od,1.0,1.0,1.0,,0.0,
tebe,0.0,0.0,0.0,,,
mohla,0.0,0.0,0.0,,,
dostat,0.0,0.0,0.0,,,
neco,0.0,0.0,0.0,,,
"oranžového,",0.0,0.0,0.0,,,
ne,0.0,0.0,0.0,,,
ju,0.0,0.0,0.0,,,
nekdy,0.0,0.0,0.0,,,
fakt,0.0,0.0,0.0,,,
napadne,1.0,1.0,1.0,,0.0,
ona.1,0.0,0.0,0.0,,,
má,0.0,1.0,0.0,,,
takové,0.0,0.0,0.0,,,
jakože,0.0,0.0,0.0,,,
hlášky.,1,1,1,,1,průpovídky
že.1,0.0,0.0,0.0,,,
to.2,0.0,0.0,0.0,,,
to.3,0.0,0.0,0.0,,,
bys.,0.0,0.0,0.0,,,
jako,0.0,0.0,0.0,,,
ona.2,0.0,0.0,0.0,,,
zkouší,0.0,0.0,0.0,,,
no.,0.0,0.0,0.0,,,
ale,0.0,0.0,0.0,,,
má.1,0.0,0.0,0.0,,,
doma.1,0.0,0.0,0.0,,,
ňáký,0.0,0.0,0.0,,,
oranžový.1,0.0,0.0,0.0,,,
ale.1,0.0,0.0,0.0,,,
mmm,0.0,0.0,0.0,,,
ne.1,0.0,0.0,0.0,,,
šatičky,0.0,0.0,0.0,,,
jako.1,0.0,0.0,0.0,,,
má.2,0.0,0.0,0.0,,,
enom,0.0,0.0,0.0,,,
ňáké,0.0,0.0,0.0,,,
tričko.,0.0,0.0,0.0,,,
má.3,0.0,0.0,0.0,,,
tričko,0.0,0.0,0.0,,,
oranžové,0.0,0.0,0.0,,,
to.4,0.0,0.0,0.0,,,
vlastně,0.0,0.0,0.0,,,
dostala,0.0,0.0,0.0,,,
ode,1.0,1.0,1.0,,,
"mě,",0.0,0.0,0.0,,,
jedno.,0.0,0.0,0.0,,,
pak,0.0,1.0,0.0,,,
má.4,0.0,0.0,0.0,,,
eště,0.0,0.0,0.0,,,
druhé,0.0,0.0,0.0,,,
"ňáké,",0.0,0.0,0.0,,,
ale.2,0.0,0.0,0.0,,,
jako.2,0.0,0.0,0.0,,,
šatičky.1,0.0,0.0,0.0,,,
oranžové.1,0.0,0.0,0.0,,,
nemá.,0.0,0.0,0.0,,,
ale.3,0.0,0.0,0.0,,,
tak,0.0,0.0,0.0,,,
to.5,0.0,0.0,0.0,,,
ona.3,0.0,0.0,0.0,,,
všechno,0.0,0.0,0.0,,,
pláce,1,1,1,1,dává,
dohromady-,0.0,0.0,0.0,,,
ale.4,0.0,0.0,0.0,,,
ne.2,0.0,0.0,0.0,,,
šak,0.0,0.0,0.0,,,
to.6,0.0,0.0,0.0,,,
je,0.0,0.0,0.0,,,
takový.2,0.0,0.0,0.0,,,
nátělník.,0.0,0.0,0.0,,,
"ale,",0.0,0.0,0.0,,,
a.3,0.0,0.0,0.0,,,
tož,0.0,0.0,0.0,,,
tak.1,0.0,0.0,0.0,,,
no..1,0.0,0.0,0.0,,,
tak.2,0.0,0.0,0.0,,,
sem.4,0.0,0.0,0.0,,,
ale.5,0.0,0.0,0.0,,,
já.5,0.0,0.0,0.0,,,
sem.5,0.0,0.0,0.0,,,
tento,0.0,0.0,0.0,,,
týden,0.0,0.0,0.0,,,
neměla,0.0,1.0,0.0,,,
čas,0.0,0.0,0.0,,,
"to,",0.0,0.0,0.0,,,
já.6,0.0,0.0,0.0,,,
sem.6,0.0,0.0,0.0,,,
si.1,0.0,0.0,0.0,,,
myslela,0.0,0.0,0.0,,,
že.2,0.0,0.0,0.0,,,
to.7,0.0,0.0,0.0,,,
tam,0.0,0.0,0.0,,,
bude,0.0,0.0,0.0,,,
že.3,0.0,0.0,0.0,,,
to.8,0.0,0.0,0.0,,,
přešiju.,0.0,0.0,0.0,,,
enomže,0.0,0.0,0.0,,,
"sem,",0.0,0.0,0.0,,,
jezdila,0.0,0.0,0.0,,,
do,0.0,0.0,0.0,,,
toho,0.0,0.0,0.0,,,
"Kyjova,",0.0,0.0,0.0,,,
pracovně.,0.0,0.0,0.0,,,
takže,0.0,0.0,0.0,,,
to.9,0.0,0.0,0.0,,,
já.7,0.0,0.0,0.0,,,
nemám,0.0,1.0,0.0,,,
"čas,",0.0,0.0,0.0,,,
já.8,0.0,0.0,0.0,,,
dyž,0.0,0.0,0.0,,,
su,0.0,0.0,0.0,,,
v,0.0,0.0,0.0,,,
Kyjově,0.0,0.0,0.0,,,
tak.3,0.0,0.0,0.0,,,
dojedu,0.0,0.0,0.0,,,
dom,0.0,0.0,0.0,,,
o,1.0,1.0,1.0,,,
půl,0.0,0.0,0.0,,,
"šesté,",0.0,0.0,0.0,,,
fakt?,0.0,0.0,0.0,,,
"ano,.1",0.0,0.0,0.0,,,
já.9,0.0,0.0,0.0,,,
