word,ann1,ann2,ann3
Výsledky,0,0,0
práce,0,0,0
domácích,1,1,1
řemeslníků,0,0,0
a,0,0,0
rovněž,0,0,0
"prospektorů,",0,0,0
kteří,0,0,0
již,0,0,0
tenkrát,0,0,0
křižovali,0,0,0
krajinou,0,0,0
a.1,0,0,0
hledali,0,0,0
ložiska,0,0,0
železných,0,0,0
i,0,0,0
barevných,1,1,1
a.2,0,0,0
cenných,0,0,0
"kovů,",0,0,0
se,0,0,0
směňovaly,0,0,0
na,0,0,1
tržištích,0,0,0
v,0,0,1
podhradí,0,0,0
velkých,0,0,0
ústředí,0,0,0
a.3,0,0,0
na.1,0,0,0
všeobecně,0,0,0
známých,0,0,0
a.4,0,0,0
přístupných,0,0,0
místech.,0,0,0
Vedle,0,1,1
trhu,0,1,0
"domácího,",1,1,1
který,0,0,0
asi,0,0,0
při,0,1,1
všeobecně.1,0,0,0
samozásobitelské,0,0,0
povaze,0,1,0
české,0,0,0
společnosti,0,0,0
desátého,0,0,0
století,0,0,0
příliš,0,0,0
velkého,0,0,0
obratu,1,1,1
"nedociloval,",1,1,1
víme,0,0,0
v.1,0,0,0
českých,0,0,0
zemích,0,0,0
již.1,0,0,0
od,1,1,1
samého,1,0,0
počátku,0,0,0
tohoto,0,0,0
věku,0,0,0
o,1,1,1
přítomnosti,0,1,0
dálkového,0,0,0
obchodu,0,0,0
mezinárodního.,0,0,0
Zdá,1,1,1
"se,",1,1,1
že,0,0,0
onou,0,0,0
dobou,0,0,0
opouštěly,1,1,1
Čechy,0,0,0
především,0,0,0
suroviny,0,0,0
a.5,0,0,0
"polotovary,",0,0,0
například,0,0,0
právě,1,1,0
uvedený,1,1,1
"vosk,",0,0,0
a.6,0,0,0
případně,0,0,0
též,0,0,0
"zboží,",0,0,0
která,0,0,0
naším,0,0,0
územím,0,0,0
procházela,1,1,1
jako,0,0,0
zásilky,0,0,0
tranzitního,0,0,0
"obchodu,",0,0,0
třeba,0,0,0
saská,0,0,0
sůl,0,0,0
ze,0,1,0
solivarů,0,0,0
v.2,0,0,0
okolí,0,0,0
Halle,0,0,0
an,0,0,0
der,0,0,0
Saale.,0,0,0
Již,0,0,0
od.1,1,1,1
doby,0,0,0
kolem,1,1,1
roku,0,0,0
900,0,0,0
však,0,0,0
naši,0,0,0
podnikatelé,0,0,0
nabízeli,0,0,0
na.2,1,1,1
zahraničních,0,0,0
trzích,0,0,0
"„zboží“,",1,1,0
se.1,0,0,0
kterým,0,0,0
nemohli,0,0,0
neuspět -,0.0,0.0,
otroky,0,0,0
a.7,0,0,0
otrokyně.,0,0,0
O,1,1,1
tom,0,0,0
uslyšíme,0,0,1
více,0,0,0
později.,0,0,0
V,0,0,0
zemi,0,0,0
obíhala,0,0,0
celá,0,0,0
řada,1,1,1
směnných,0,0,0
"prostředků,",0,1,1
užívaných,0,0,0
jako.1,0,0,0
všeobecné,0,0,0
hodnotové,0,0,0
ekvivalenty,0,0,0
nabízených,0,0,0
zboží.,0,0,0
Vedle.1,1,1,1
stůčků,0,0,0
hedvábí,0,0,0
a.8,0,0,0
ingotů,0,0,0
z,1,1,1
různých,0,0,0
kovů,0,0,0
standardní,0,0,0
váhy,0,0,0
to,0,0,0
byly,0,0,0
především.1,0,0,0
pověstné,0,0,0
"šátečky,",1,1,0
o.1,0,1,1
nichž,0,0,0
se.2,0,0,0
zmiňuje,0,0,0
emisar,0,0,0
córdobského,0,0,0
chalífátu,0,0,0
Ibráhím,0,0,0
ibn,0,0,0
"Ja’kúb,",0,0,0
který.1,0,0,0
navštívil,1,0,0
české.1,0,0,0
země,0,1,0
někdy,0,0,0
v.3,1,1,1
šedesátých,0,0,0
letech,0,1,0
desátého.1,0,0,0
století.,0,0,0
Z,1,1,1
jeho,0,0,0
zprávy,0,0,0
se.3,0,0,0
zachoval,0,0,0
"úryvek,",0,0,0
který.2,0,0,0
"popisuje,",1,1,1
jak,0,0,0
čeští,0,0,0
Slované,0,0,0
užívají,0,0,0
při.1,1,1,1
obchodu.1,0,0,0
zvláštních,0,0,0
textilních,0,0,0
výrobků,0,0,0
standardní.1,0,0,0
"velikosti,",0,0,0
tkaných,0,0,0
tak,0,0,0
"řídce,",0,0,0
že.1,0,0,0
se.4,0,0,0
nehodí,0,0,1
v.4,1,1,1
praxi,0,0,0
k,1,1,1
ničemu,0,0,0
jinému,0,0,0
než,0,0,0
právě.1,1,1,1
ke,1,1,1
směňování.,0,0,0
Podle,1,1,1
córdobského.1,0,0,0
cestovatele,0,0,0
byl,0,0,0
poměr,0,0,0
oněch,0,0,0
šátečků,1,1,0
k.1,1,1,1
minci,0,0,0
ustálen,0,0,0
a.9,0,0,0
tento,0,0,0
všeobecně.2,0,0,0
známý,0,0,0
poměr.1,0,0,0
sloužil,0,1,1
k.2,1,1,1
rychlému,1,1,1
přepočtu,0,0,0
cen,0,0,0
jednotlivých,0,0,0
druhů,0,0,0
zboží,0,0,0
v.5,1,1,1
libovolné,0,0,0
podobě,0,1,0
oběživa.,0,0,0
Zdá.1,1,1,1
"se,.1",1,1,1
že.2,0,0,0
Čechové,0,0,0
desátého.2,0,0,0
století.1,0,0,0
užívali,0,0,0
oněch.1,0,0,0
šátečků.1,1,1,0
co,0,0,0
"„drobných“,",1,0,1
neboť,0,0,0
stříbrná,0,0,0
mince,0,0,0
měla,0,0,0
podle,1,1,1
Ibráhímových,0,0,0
údajů,0,0,0
hodnotu,0,0,0
poměrně,0,0,0
vysokou.,1,0,1
Právě,1,1,1
tento.1,0,0,0
údaj,0,0,0
způsobuje,1,1,1
však.1,0,0,0
badatelům,0,0,0
jisté,1,0,1
"rozpaky,",0,0,0
neboť.1,0,0,0
si,0,0,0
"povšimli,",0,0,0
že.3,0,0,0
kdyby,0,0,0
Ibráhímem,0,0,0
uváděné,1,1,1
ceny,0,0,0
opravdu,0,0,0
"platily,",1,0,1
bylo,0,0,0
by,0,0,0
v.6,0,0,0
Čechách,0,0,0
desátého.3,0,0,0
století.2,0,0,0
obilí,0,0,0
levnější,0,0,0
než.1,0,0,0
v.7,0,0,0
Egyptě!,0,0,0
Kromě,0,0,0
těchto,0,0,0
různých.1,0,0,0
podob,1,1,0
oběživa,0,0,0
se.5,0,0,0
u,1,1,1
nás,0,0,0
ovšem,0,0,0
nakupovalo,0,0,0
i.1,0,0,0
za,1,1,1
stříbrnou,0,0,0
minci.1,0,0,0
"západní,",0,0,0
karlovské,0,0,0
váhové,0,0,0
soustavy.,0,0,0
První,0,0,0
takové,0,0,0
peníze,0,0,0
zarazil,0,1,0
snad,0,0,0
již.2,0,0,0
otec,0,0,0
našeho,0,0,0
"hrdiny,",0,1,1
"Boleslav I.,",0,0,0
a.10,0,0,0
do,1,1,1
konce,0,0,1
10.0,0.0,0.0,0.0
století.3,0,0,0
v.8,1,1,1
rukou,1,1,1
našich,0,0,0
obchodníků,0,0,0
a.11,0,0,0
mohovitých,0,0,0
členů,0,0,0
společnosti.1,0,0,0
zcela,0,0,0
zdomácněly.,0,0,0
Nejstarší,0,0,0
české.2,0,0,0
mince.1,0,0,0
napodobovaly,1,1,1
ražby,0,0,0
bavorského,0,0,0
města,0,0,0
"Řezna,",0,0,0
brzy,0,0,0
se.6,1,1,1
však.2,0,0,0
čeští.1,0,0,0
mincmistři,0,0,0
orientovali,1,1,1
na.3,1,1,1
širší,1,1,1
mezinárodní,0,0,0
trh,1,1,1
a.12,0,0,0
počali,0,0,0
razit,0,0,0
minci.2,0,0,0
napodobující,1,1,0
anglosaské,0,0,0
denáry,0,0,0
krále,0,0,0
"Ethelreda II., ",0,0,0
známého,0,0,0
pod,1,1,1
jménem,0,0,0
Ethelred,0,0,0
Zlé,0,0,0
rady,0,0,0
(Ethelred,0,0,0
the,0,0,0
"Unready,",0,0,0
slovní,0,0,0
hříčka,1,0,1
se.7,0,0,0
jménem.1,0,0,0
anglosaského,0,0,0
Adalráda,0,0,0
"Unráda,",0,0,0
"978–1016),",0,0,0
tehdy,0,0,0
oblíbené,0,0,0
platidlo,0,0,0
na.4,1,1,1
trzích.1,1,1,1
po,0,1,0
obou,0,0,0
březích,0,0,0
Baltského,0,0,0
"moře,",0,0,0
kam,0,0,0
tehdejší,0,0,0
český,0,0,0
obchod,0,0,0
především.2,0,0,0
směřoval.,1,0,1
Kdybychom,0,0,0
měli,0,0,0
popsat,1,1,1
orientaci,1,1,1
českého,0,0,0
dálkového.1,0,0,0
obchodu.2,0,0,0
na.5,1,1,1
tehdejší.1,0,0,0
světové,0,0,0
"trhy,",1,1,1
připodobnili,0,0,0
bychom,0,0,0
ji,0,0,0
nejspíše,0,0,0
k.3,1,1,1
větrné,0,0,0
růžici,0,0,0
směřující,0,0,0
do.1,0,1,1
čtyř,0,0,0
světových,0,0,0
"stran,",0,0,1
ale,0,0,0
otočené,0,0,0
o.2,0,0,0
45°.,0,0,0
Bylo,0,0,0
to.1,0,0,0
způsobeno,0,0,0
"tím,",0,0,0
že.4,0,0,0
hlavní,0,0,0
obchodní,0,0,0
tepny,1,1,1
se.8,1,0,0
tehdy.1,0,0,0
kryly,1,0,0
se.9,0,0,0
směry,0,0,0
velkých.1,0,0,0
"řek,",0,0,0
které,0,0,0
z.1,0,0,0
Čech,0,0,0
vytékaly,0,0,0
nebo,0,0,0
proudily,0,0,0
v.9,0,0,0
jejich,0,0,0
těsné,0,0,1
blízkosti.,0,0,0
Na,1,1,1
severozápad,0,0,0
tak.1,0,0,0
obchodníci,0,0,0
z.2,1,1,1
Čech.1,0,0,0
cestovali,0,0,0
po.1,0,0,0
Labi,0,0,0
a.13,0,0,0
na.6,1,1,1
severovýchod,0,0,0
po.2,0,0,0
Odře,0,0,0
a.14,0,0,0
Visle,0,0,0
až,0,0,0
k.4,,0.0,0.0
pobřeží,0,0,0
Baltského.1,0,0,0
moře.,0,0,0
Na.1,1,1,1
jihozápad,0,0,0
zajížděli,0,0,0
proti,1,0,0
toku,0,0,0
horního,0,0,0
Dunaje,0,0,0
až.1,0,0,0
do.2,0,0,0
Würzburku,0,0,0
a.15,0,0,0
Mohuče,0,0,0
a.16,0,0,0
na.7,1,1,1
jihovýchod,0,0,0
se.10,0,0,0
naopak,0,0,0
vypravovali,0,0,0
po.3,0,0,0
proudu,0,0,0
Dunaje.1,0,0,0
až.2,0,0,0
k.5,0,0,0
Černému,0,0,0
moři.,0,0,0
České,0,0,0
"výrobky,",0,0,0
především.3,0,0,0
už,0,0,0
uvedené,1,1,1
suroviny.1,0,0,0
a.17,0,0,0
polotovary,0,0,0
"(vosk,",0,0,0
"stříbro,",0,0,0
snad.1,0,0,0
i.2,0,0,0
živý,0,0,0
dobytek),0,0,0
směřovaly,1,0,1
do.3,0,0,0
všech,0,0,0
těchto.1,0,0,0
končin,0,0,0
"světa,",0,0,0
kam.1,0,0,0
se.11,0,0,0
také,0,0,0
dopravovali,0,0,0
už.1,0,0,0
uvedení,1,1,1
otroci,0,0,0
a.18,0,0,0
otrokyně..1,0,0,0
Většina,0,0,0
českého.1,0,0,0
raženého,0,0,0
stříbra,0,0,0
desátého.4,0,0,0
století.4,0,0,0
směřovala,1,0,0
do.4,0,0,0
"Pobaltí,",0,0,0
na.8,0,0,0
Gotland,0,0,0
a.19,0,0,0
do.5,0,0,0
jižní,0,0,0
Skandinávie.,0,0,0
"Nevíme,",0,0,0
co.1,0,0,0
tam,0,0,0
za.1,1,1,1
ně,0,0,0
čeští.2,0,0,0
exportéři,0,0,0
nakupovali;,0,0,0
můžeme,0,0,0
si.1,0,0,0
představovat,0,0,0
různé,0,0,0
druhy,0,0,0
orientálního,0,0,0
"zboží,.1",0,0,0
jichž,0,0,0
bylo.1,0,0,0
na.9,1,1,0
pobaltských,0,0,0
trzích.2,1,1,0
dost,0,0,0
a.20,0,0,0
dost.,0,0,0
Při,1,1,1
výskytu,0,0,0
tisíců,0,0,0
kusů,0,0,0
českých.1,0,0,0
