word,ann1,ann2,ann3
Po,1,1,1
dvaceti,0.0,0.0,
letech,0,0,0
konečně,0,0,0
vidíme,0,0,0
na,0,0,0
konci,0,0,0
dlouhého,0.0,0.0,
a,0,0,0
vysilujícího,1,1,1
tunelu,1,1,1
první,0,0,0
paprsky,1,1,1
světla.,1,1,1
Jak,0,0,0
upozorňoval,0,0,0
pan,0,0,0
poslanec,0,0,0
Milana,0,0,0
a.1,0,0,0
"další,",0,0,0
ještě,0,0,0
mnoho,0,0,0
toho,0,0,0
zbývá,0,0,0
"udělat,",0,0,0
ale,0,0,0
mnozí,0,0,0
z,0,1,0
nás,0,0,0
se,0,0,0
připravovali,0,0,0
na.1,0,1,1
nejhorší,0,0,0
a.2,0,0,0
"očekávali,",0,0,0
že,0,0,0
znovu,0,0,0
propukne,0,0,0
občanská,0,0,0
válka.,0,0,0
Blahopřeji,0,0,0
proto,0,0,0
severu,0,1,0
i,0,0,0
jihu,0,1,0
země,0,0,0
k,1,1,1
prvním,0,0,0
výsledkům,0,0,0
tohoto,0,0,0
referenda,0,0,0
Až,1,1,0
do,1,1,0
vyhlášení,1,1,1
nezávislosti,0,0,0
záleží,0,0,0
na.2,1,1,1
každém,0,0,0
dni.,0,0,0
Nikdo,0,0,0
si,0,0,0
nemůže,0,0,0
dovolit,0,0,0
udělat,0,0,0
chybný,1,1,1
"krok,",1,1,1
ani,0,0,0
v,0,0,0
"Chartúmu,",0,0,0
ani.1,0,0,0
v.1,0,0,0
"Jubě,",0,0,0
ani.2,0,0,0
v.2,0,0,0
Bruselu,0,0,0
nebo,0,0,0
v.3,0,1,0
Africké,0,0,0
unii,0,0,0
v.4,0,0,0
Addis,0,0,0
Abebě.,0,0,0
Například,0,0,0
je,0,0,0
určitě,0,0,0
zapotřebí,0,0,0
uvítat,1,1,1
myšlenku,0,0,0
otevřít,1,1,1
delegaci,0,0,0
EU,0,0,0
se.1,0,1,0
zvláštním,0,0,0
"statusem,",0,0,0
dokud,0,0,0
nebude,0,0,0
skutečně,0,0,0
vyhlášena,1,1,1
nezávislost.,0,0,0
Súdán,1,1,0
se.2,0,0,0
chystá,1,1,1
"nám,",0,0,0
mezinárodnímu,0,0,0
"společenství,",0,0,0
pěkně,1,1,1
spočítat,1,1,1
cynismus,0,0,0
a.3,0,0,0
"krize,",0,0,0
které,0,0,0
mnohdy,0,0,0
spíše,0,0,0
z.1,1,1,1
rezignace,0,0,1
než,0,0,0
jiného,0,0,0
důvodu,0,0,0
považujeme,0,0,0
za,1,1,1
neřešitelné.,0,0,0
Pane,0,0,0
"předsedající,",0,0,0
"vítám,",1,1,0
že.1,0,0,0
jižní,0,0,0
Súdán.1,0,0,0
bude,0,0,0
"nezávislý,",0,0,0
a.4,0,0,0
blahopřeji,0,0,0
obyvatelům,0,0,0
jižního,0,0,0
Súdánu,0,0,0
k.1,1,1,1
"tomu,",0,0,0
že.2,0,0,0
toho.1,0,0,0
dosáhli.,1,1,1
Jak.1,0,0,0
před,1,1,1
chvílí,0,0,0
řekl,0,0,0
pan.1,0,0,0
kolega,0,0,0
poslanec.1,0,0,0
"Goerens,",0,0,0
jenž,0,0,0
byl,0,0,0
tak,0,0,0
laskav,0,0,0
a.5,0,0,0
obrátil,1,1,0
se.3,0,0,0
při,1,1,1
této,0,0,0
příležitosti,0,0,0
na.3,1,1,1
"mne,",0,0,0
lidé,0,0,0
mohou,0,0,0
mít,1,1,1
právo,0,0,0
na.4,1,1,1
"to,",0,0,0
aby,0,0,0
nemuseli,0,0,0
žít,0,0,0
podle,0,1,1
práva,0,0,0
šaría.,0,0,0
Jejich,0,0,0
právo.1,0,0,0
musíme,0,0,0
ctít.,0,0,1
Musím,0,0,0
nicméně,0,0,0
také,0,0,0
"podotknout,",0,0,0
že.3,0,0,0
jen,0,0,0
někteří,0,0,0
mají,1,0,1
to,0,0,0
"štěstí,",0,0,0
že.4,0,0,0
dostanou,1,0,1
možnost,0,0,0
získat,1,0,1
právo.2,0,0,0
na.5,1,1,1
takovou,0,0,0
svobodu.,0,0,0
Obyvatelé,0,0,0
nedalekého,0,0,0
Somálijska,0,0,0
tuto,0,0,0
možnost.1,0,0,0
nemají.,1,0,1
Přál,0,0,0
bych,0,0,0
"si,",0,0,0
abychom,0,0,0
přehodnotili,1,0,1
naši,0,0,0
"politiku,",0,0,0
která,0,0,0
se.4,0,0,0
až,1,1,0
dosud,0,0,0
vyznačovala,1,1,1
"tím,",0,0,0
že.5,0,0,0
jsme,0,0,0
neuznávali,0,0,0
úsilí,0,0,0
obyvatel,0,0,0
Somálijské,0,0,0
"republiky,",0,0,0
kteří,0,0,0
v.5,0,0,0
této.1,0,0,0
oblasti,0,0,0
vytvořili,0,0,1
nezávislý,0,0,0
a.6,0,0,0
demokratický,0,0,0
muslimský,0,0,0
"stát,",0,0,0
k.2,1,1,1
němuž,0,0,0
se.5,0,0,0
však,0,0,0
"chováme,",1,0,0
jako,0,0,0
by,0,0,0
neexistoval.,1,1,1
Pane.1,0,0,0
"předsedající,.1",0,0,0
co,0,0,0
se.6,0,0,0
týče,0,0,0
jižního.1,0,0,0
"Súdánu,",0,0,0
chtěl,0,0,0
bych.1,0,0,0
se.7,0,0,0
také.1,0,0,0
dotknout,1,1,1
stavu,0,0,0
této.2,0,0,0
země.,0,0,0
Jižní,0,0,0
Súdán.2,0,0,0
je.1,0,0,0
stále,0,0,0
nejchudší,0,0,0
zemí,0,0,0
v.6,0,0,0
"Africe,",0,0,0
a.7,0,0,0
to.1,0,0,0
i.1,0,0,0
navzdory,0,0,0
"tomu,.1",0,0,0
že.6,0,0,0
v.7,1,1,1
posledních,0,0,0
pěti,0,0,0
letech.1,0,0,0
mohl,0,1,1
využívat,1,1,0
přístupu,1,0,1
k.3,0,1,1
polovině,0,0,0
ropných,0,0,0
zdrojů,0,0,1
celého,0,0,0
Súdánu.,0,0,0
Vidím,1,1,1
zde,0,1,1
do.1,0,1,1
očí,1,0,1
bijící,1,1,1
"zaostalost,",0,0,0
která.1,0,0,0
byla,0,0,0
dosud.1,0,0,0
dána,1,0,0
přehlížením,0,0,1
a.8,0,0,0
nezájmem,0,0,0
ze,1,1,1
strany,1,0,1
Chartúmu.,0,0,0
Byl,0,0,0
bych.2,0,0,0
však.1,0,0,0
"rád,",0,0,0
kdyby,0,0,0
Evropská,0,0,0
unie,0,0,0
od,1,1,1
nynějška,0,0,0
kladla,1,1,1
důraz,0,0,0
na.6,0,1,1
"to,.1",0,0,0
že.7,0,0,0
tato,0,0,0
země.1,0,0,0
potřebuje,1,0,1
správu,0,0,0
a.9,0,0,0
"rozvoj,",0,0,0
a.10,0,0,0
nepomáhala,0,0,1
financovat,0,0,0
"zaostalost,.1",0,0,0
která.2,0,0,0
se.8,0,0,0
tak.1,0,0,0
snadno,0,0,0
může,0,0,0
v.8,1,1,1
budoucnu,0,0,0
v.9,0,0,0
jižním,0,0,0
Súdánu.1,0,0,0
rozmoci.,0,0,1
Pane.2,0,0,0
"předsedající,.2",0,0,0
v.10,1,1,1
dnešní,0,0,0
rozpravě,0,0,0
bychom,0,0,0
měli,0,0,0
odolat,1,0,1
pokušení,1,0,1
přehnaného,0,0,0
optimismu.,0,0,0
Předpovědi,0,0,0
dalšího,0,0,0
dění,0,0,0
v.11,0,0,0
Súdánu.2,0,0,0
jsou,0,0,0
jen.1,0,0,0
věštěním,1,0,1
z.2,1,1,1
křišťálové,1,1,1
koule.,1,1,1
I,0,0,0
přes,1,1,0
všechny,0,0,0
"naděje,",0,0,0
které.1,0,0,0
vzkřísilo,1,1,1
nedávné,0,0,0
"referendum,",0,0,0
bychom.1,0,0,0
neměli,0,0,0
"předpokládat,",0,0,0
že.8,0,0,0
tato.1,0,0,0
záležitost,0,0,0
je.2,0,0,0
již,0,0,0
vyřešena.,0,0,0
To,0,0,0
zdaleka,1,0,0
není,0,0,0
True,0,0,0
a.11,0,0,0
nikdo,0,0,0
zatím,0,0,0
"neví,",0,0,0
zda,0,0,0
bude.1,0,0,0
země.2,0,0,0
v.12,1,1,1
souladu,1,0,1
s,1,1,1
vůlí,0,1,0
obyvatelstva,0,0,0
jihu.1,0,0,0
rozdělena.,0,0,1
Další,0,0,0
problém,0,0,0
spočívá,1,1,1
v.13,1,1,1
"tom,",0,0,0
že.9,0,0,0
jižní.1,0,0,0
část,0,0,0
země.3,0,0,0
v.14,1,1,1
současnosti,0,0,0
sjednocuje,1,0,1
odpor,1,0,0
k.4,1,1,1
muslimskému,0,0,0
severu.,0,0,0
Až.1,0,1,0
tato.2,0,0,0
zášť,0,0,0
vyprchá,1,1,1
a.12,0,0,0
nadejde,1,1,1
čas,0,0,0
budovat,1,1,1
státní,0,0,0
"instituce,",0,0,0
hned,0,0,0
bude.2,0,0,0
patrná,1,0,0
křehká,1,1,1
rovnováha,0,0,1
mezi,1,0,1
třemi,0,0,0
kulturně,0,0,0
a.13,0,0,0
jazykově,0,0,0
odlišnými,0,0,0
kmeny.,0,0,0
Tato,0,0,0
otázka,1,0,1
bude.3,0,0,0
mít.1,1,0,1
velký,0,0,0
význam,0,0,0
a.14,0,0,0
měli.1,0,0,0
bychom.2,0,0,0
jí,0,0,0
již.1,0,0,0
teď,0,0,0
věnovat,1,1,1
pozornost.,0,0,0
Další.1,0,0,0
"otázka,",0,0,0
kterou,0,0,0
si.1,0,0,0
musíme.1,0,0,0
položit,1,1,1
a.15,0,0,0
najít,1,0,1
na.7,1,0,1
ni,0,0,0
"odpověď,",0,0,0
zní,1,0,1
takto:,0,0,0
proč,0,0,0
je.3,0,0,0
nyní,0,0,0
reálná,1,0,0
naděje,0,0,0
na.8,0,1,1
mírové,0,0,0
ukončení,0,0,0
