word,ann1,ann2,ann3,ann4
Po,1,1,1,
dvaceti,0,0,0,
letech,0,0,0,
konečně,0,0,0,
vidíme,0,0,0,
na,0,0,0,
konci,0,0,0,
dlouhého,0,0,0,
a,0,0,0,
vysilujícího,1,1,1,0
tunelu,1,1,1,0
první,0,0,0,
paprsky,1,1,1,0
světla.,1,1,1,0
Jak,0,0,0,
upozorňoval,0,0,0,
pan,0,0,0,
poslanec,0,0,0,
Milana,0,0,0,
a,0,0,0,
"další,",0,0,0,
ještě,0,0,0,
mnoho,0,0,0,
toho,0,0,0,
zbývá,0,0,0,
"udělat,",0,0,0,
ale,0,0,0,
mnozí,0,0,0,
z,0,1,0,
nás,0,0,0,
se,0,0,0,
připravovali,0,0,0,
na,0,1,1,
nejhorší,0,0,0,
a,0,0,0,
"očekávali,",0,0,0,
že,0,0,0,
znovu,0,0,0,
propukne,0,0,0,
občanská,0,0,0,
válka.,0,0,0,
Blahopřeji,0,0,0,
proto,0,0,0,
severu,0,1,0,
i,0,0,0,
jihu,0,1,0,
země,0,0,0,
k,1,1,1,
prvním,0,0,0,
výsledkům,0,0,0,
tohoto,0,0,0,
referenda,0,0,0,
Až,1,1,0,
do,1,1,0,
vyhlášení,1,1,1,NLE
nezávislosti,0,0,0,
záleží,0,0,0,
na,1,1,1,
každém,0,0,0,
dni.,0,0,0,
Nikdo,0,0,0,
si,0,0,0,
nemůže,0,0,0,
dovolit,0,0,0,
udělat,0,0,0,
chybný,1,1,1,0
"krok,",1,1,1,0
ani,0,0,0,
v,0,0,0,
"Chartúmu,",0,0,0,
ani,0,0,0,
v,0,0,0,
"Jubě,",0,0,0,
ani,0,0,0,
v,0,0,0,
Bruselu,0,0,0,
nebo,0,0,0,
v,0,1,0,
Africké,0,0,0,
unii,0,0,0,
v,0,0,0,
Addis,0,0,0,
Abebě.,0,0,0,
Například,0,0,0,
je,0,0,0,
určitě,0,0,0,
zapotřebí,0,0,0,
uvítat,1,1,1,0
myšlenku,0,0,0,
otevřít,1,1,1,0
delegaci,0,0,0,
EU,0,0,0,
se,0,1,0,
zvláštním,0,0,0,
"statusem,",0,0,0,
dokud,0,0,0,
nebude,0,0,0,
skutečně,0,0,0,
vyhlášena,1,1,1,NLE
nezávislost.,0,0,0,
Súdán,1,1,0,
se,0,0,0,
chystá,1,1,1,0
"nám,",0,0,0,
mezinárodnímu,0,0,0,
"společenství,",0,0,0,
pěkně,1,1,1,0
spočítat,1,1,1,0
cynismus,0,0,0,
a,0,0,0,
"krize,",0,0,0,
které,0,0,0,
mnohdy,0,0,0,
spíše,0,0,0,
z,1,1,1,
rezignace,0,0,1,
než,0,0,0,
jiného,0,0,0,
důvodu,0,0,0,
považujeme,0,0,0,
za,1,1,1,
neřešitelné.,0,0,0,
Pane,0,0,0,
"předsedající,",0,0,0,
"vítám,",1,1,0,
že,0,0,0,
jižní,0,0,0,
Súdán,0,0,0,
bude,0,0,0,
"nezávislý,",0,0,0,
a,0,0,0,
blahopřeji,0,0,0,
obyvatelům,0,0,0,
jižního,0,0,0,
Súdánu,0,0,0,
k,1,1,1,
"tomu,",0,0,0,
