word,ann1,ann2,ann3,ann4
"Sháněl,",0,1,0,
zabíjel,0,0,0,
a,0,0,0,
smažil,0,0,0,
"kapry,",0,0,0,
kupoval,0,0,0,
a,0,0,0,
zdobil,0,0,0,
"stromek,",0,0,0,
pečlivě,0,0,0,
balil,0,0,0,
dárky,0,0,0,
a,0,0,0,
k,1,1,1,
večeři,0,0,0,
se,0,0,0,
převlékal,0,0,0,
do,0,0,1,
slavnostního.,0,0,0,
Všechny,0,0,0,
ty,0,0,0,
obvyklé,0,0,0,
věci.,0,0,0,
Když,0,0,0,
se,0,0,0,
před,1,1,1,
třemi,0,0,0,
lety,0,0,0,
"rozvedl,",0,0,0,
Vánoce,0,0,0,
pro,0,0,0,
něho,0,0,0,
prakticky,0,0,0,
ztratily,0,1,1,
smysl.,0,0,0,
Také,0,0,0,
letošní,0,0,0,
svátky,0,0,0,
klidu,0,0,0,
a,0,0,0,
míru,0,0,0,
byly,0,0,0,
jen,0,0,0,
nepříjemnou,0,0,0,
připomínkou,0,0,0,
"skutečnosti,",0,0,0,
že,0,0,0,
bez,0,0,0,
rodiny,0,0,0,
není,0,0,0,
jaksi,0,0,0,
co,0,0,0,
oslavovat.,0,0,0,
Oskar,0,0,0,
sice,0,0,0,
zrovna,0,0,0,
chodil,0,1,1,
s,0,0,0,
jistou,0,1,0,
mladou,0,0,0,
"dívkou,",0,0,0,
ale,0,0,0,
tu,0,0,0,
tak,0,0,0,
často,0,0,0,
přesvědčoval,0,0,0,
o,0,0,0,
své,0,0,0,
potřebě,0,0,0,
samoty,0,0,0,
a,0,0,0,
"nezávislosti,",0,0,0,
že,0,0,0,
ji,0,0,0,
po,0,0,0,
pravdě,0,0,0,
řečeno,0,0,0,
vůbec,0,0,0,
"nenapadlo,",1,1,0,
aby,0,0,0,
na,1,1,1,
Vánoce,0,0,0,
zůstala,0,0,0,
s,0,0,0,
"ním,",0,0,0,
a,0,0,0,
odjela,0,0,0,
na,1,1,1,
čtrnáct,0,0,0,
dní,0,0,0,
k,0,0,1,
rodičům,0,0,0,
na,1,1,1,
Moravu.,0,0,0,
Kdyby,0,0,0,
"mohl,",0,0,0,
nejradši,0,0,0,
by,0,0,0,
se,0,0,0,
na,1,1,1,
celý,0,1,0,
ty,0,0,0,
slavný,0,1,1,
Vánoce,0,0,0,
"vykašlal,",1,1,1,
říkal,0,0,0,
si,0,0,0,
Oskar -,0,0,0,
jenže,0,0,0,
nemohl.,0,0,0,
Jednak,0,0,0,
tu,1,0,1,
byli,0,0,0,
rodiče,0,0,0,
a,0,0,0,
ostatní,0,0,0,
"příbuzní,",0,0,0,
a,0,0,0,
pak,0,0,0,
tu,1,0,1,
byl,0,0,0,
jeho,0,0,0,
syn.,0,0,0,
Především,0,0,0,
kvůli,0,0,0,
němu,0,0,0,
Oskar,0,0,0,
tradici,0,0,0,
"Vánoc,",0,0,0,
tu,0,0,0,
poloviční,0,0,0,
"mrtvolu,",1,1,1,
každoročně,0,0,0,
s,1,1,1,
odporem,0,0,0,
resuscitoval:,1,1,1,
za,0,0,1,
jediné,0,0,0,
odpoledne,0,0,0,
nakoupil,0,0,0,
"dárky,",0,0,0,
uklidil,0,0,0,
jakž,0,0,0,
takž,0,0,0,
"byt,",0,0,0,
koupil,0,0,0,
pár,0,0,0,
smrkových,0,0,0,
"větví,",0,0,0,
strčil,0,0,1,
je,0,0,0,
do,0,0,0,
"vázy,",0,0,0,
vyštrachal,0,0,0,
několik,0,0,0,
zaprášených,0,0,0,
ozdob,0,0,0,
a,0,0,0,
dvě,0,0,0,
tři,0,0,0,
použitelné,0,0,0,
svíčky,0,0,0,
a,0,0,0,
bylo,0,0,0,
to.,0,0,0,
Syna,0,0,0,
(v,1,1,1,
listopadu,0,0,0,
mu,0,0,0,
bylo,0,0,0,
sedm),0,0,0,
mu,0,0,0,
tentokrát,0,0,0,
bývalá,0,0,0,
manželka,0,0,0,
přivezla,0,0,0,
už,0,0,0,
osmnáctého,0,0,0,
prosince,0,0,0,
"ráno,",0,0,0,
zítra,0,0,0,
v,1,1,1,
poledne,0,0,0,
si,0,0,0,
ho,0,0,0,
"vyzvedne,",1,1,1,
oznámila,0,0,0,
mu.,0,0,0,
"„Dobře,”",0,0,0,
řekl,0,0,0,
Oskar,0,0,0,
co,0,0,0,
možná,0,0,0,
klidně.,0,0,0,
Později,0,0,0,
to,0,0,0,
prý,0,0,0,
"nejde,",0,1,0,
odjíždějí,0,0,0,
na,1,1,1,
"hory,",0,0,0,
dostalo,1,0,0,
se,0,0,0,
mu,0,0,0,
vysvětlení.,0,0,0,
Oskar,0,0,0,
lhostejně,0,0,0,
přikývl.,0,0,0,
Takže,0,0,0,
letos,0,0,0,
bude,0,0,0,
Štědrý,0,1,0,
den,0,0,0,
už,0,0,0,
osmnáctého.,0,0,0,
Příští,0,0,0,
rok,0,0,0,
možná,0,0,0,
už,0,0,0,
devátého…,0,0,0,
Ale,0,0,0,
"co,",0,0,0,
pomyslel,0,0,0,
si,0,0,0,
v,1,1,1,
"duchu,",1,1,1,
pokud,0,0,0,
jde,0,1,1,
o,0,0,0,
"něj,",0,0,0,
může,0,0,0,
ty,0,0,0,
podělaný,1,1,1,
Vánoce,1,0,0,
slavit,0,0,0,
třeba,0,0,0,
v,1,1,1,
červenci.,0,0,0,
Jemu,0,0,0,
je,0,1,0,
to,0,0,0,
jedno.,1,1,0,
„Hezký,0,0,0,
"Vánoce,”",0,0,0,
popřála,0,0,0,
mu,0,0,0,
"exmanželka,",0,0,0,
přibouchla,0,0,0,
dveře,0,0,0,
od,0,1,0,
auta,0,0,0,
a,0,0,0,
odjela.,0,0,0,
Sli,0,0,0,
se,0,0,0,
synem,0,0,0,
do,0,0,0,
"kina,",0,0,0,
po,0,1,0,
filmu,0,0,0,
si,0,0,0,
dali,0,0,0,
v,0,0,0,
pizzerii,0,0,0,
oběd,0,0,0,
a,0,0,0,
nakonec,0,0,0,
se,0,0,0,
stavili,0,0,0,
doma,0,0,0,
pro,0,0,0,
kapra.,0,0,0,
Oskar,0,0,0,
ho,0,0,0,
opatrně,0,0,0,
vyndal,0,0,0,
z,0,0,0,
"vany,",0,0,0,
zabalil,0,0,0,
ho,0,0,0,
do,0,0,0,
mokré,0,0,0,
utěrky,0,0,0,
a,0,0,0,
uložil,0,0,0,
do,0,0,0,
igelitové,0,0,0,
tašky.,0,0,0,
Potom,0,0,0,
šli,0,0,0,
k,0,0,0,
"Vltavě,",0,0,0,
aby,0,0,0,
ho,0,0,0,
pustili,0,0,1,
na,1,1,1,
svobodu -,0,0,1,
tuhle,0,0,0,
sentimentální,0,0,0,
kravinu,0,0,0,
podstupoval,0,1,0,??
Oskar,0,0,0,
obzvláště,0,0,0,
"nerad,",0,0,0,
ale,0,0,0,
kvůli,0,0,0,
synovi,0,0,0,
se,0,0,0,
každý,0,0,0,
rok,0,0,0,
nakonec,0,0,0,
vždycky,0,0,0,
přemohl.,1,1,1,???
Cestou,0,0,0,
se,0,0,0,
koulovali,0,0,0,
špinavým,0,0,0,
městským,0,0,0,
"sněhem,",0,0,0,
nahlíželi,0,0,0,
do,0,0,0,
osvětlených,0,0,0,
výloh,0,0,0,
přecpaných,0,0,0,???
obchodů,0,0,0,
a,0,0,0,
v,0,0,0,
jednom,0,0,0,
z,0,0,0,
nich,0,0,0,
společně,0,0,0,
vybrali,1,0,0,
dárek,0,0,0,
mámě.,0,0,0,
Než,0,0,0,
dorazili,0,0,1,
k,0,0,0,
"řece,",0,0,0,
setmělo,0,0,0,
se.,0,0,0,
Nábřeží,0,0,0,
bylo,0,0,0,
mizerně,0,0,0,
osvětlené,0,0,0,
a,0,0,0,
Oskar,0,0,0,
se,0,0,0,
"bál,",0,0,0,
aby,0,0,0,
syn,0,0,0,
nespadl,0,0,0,
do,0,0,0,
vody.,0,0,0,
Vybalil,0,0,0,
"kapra,",0,0,0,
volnou,0,0,0,
rukou,0,0,0,
objal,0,0,0,
chlapce,0,0,0,
kolem,0,0,0,
pasu,0,0,0,
a,0,0,0,
společně,0,0,0,
se,0,0,0,
naklonili,0,0,0,
nad,0,0,0,
černou,0,0,0,
hladinu.,0,0,0,
„Milý,0,0,0,
"kapříku,",0,0,0,
přejeme,0,0,0,
"ti,",0,0,0,
aby,0,0,0,
ses,0,0,0,
tu,0,0,0,
měl,0,0,0,
moc,0,0,0,
krásně,0,0,0,
a,0,0,0,
našel,0,0,0,
sis,0,0,0,
tu,1,0,0,
nové,0,0,0,
"kamarády,”",0,0,1,
popřál,0,0,0,
rybě,0,0,0,
s,0,0,1,
dojemnou,0,0,0,
vážností,0,0,0,
syn.,0,0,0,
„Tak,0,0,0,
tě,0,0,0,
pic,0,0,0,
a,0,0,0,
děkuj,0,0,1,
"bohu,",0,0,1,
že,0,0,0,
jsme,0,0,0,
tě,0,0,0,
"nesežrali,”",0,0,0,
doplnil,1,0,0,
Oskar.,0,0,0,
Syn,0,0,0,
se,0,0,0,
"rozesmál,",0,0,0,
ale,0,0,0,
potom,0,0,0,
už,0,0,0,
ze,0,0,0,
sebe,0,0,0,
smích,0,0,0,
křečovitě,1,0,0,
"nutil,",0,0,0,
což,0,0,0,
byla,0,0,0,
jedna,0,0,0,
z,0,0,0,
"věcí,",0,0,0,
které,0,0,0,
šly,1,1,1,
Oskarovy,0,0,0,
odjakživa,0,0,0,
na,1,1,1,
nervy.,0,1,1,
"„Raz,",0,0,0,
"dva,",0,0,0,
tři!”,0,0,0,
zvolal,0,0,0,
a,0,0,0,
s,1,0,0,
okázalým,0,0,0,
rozmachem,0,0,0,
hodil,0,0,0,
kapra,0,0,0,
do,0,0,0,
vody.,0,0,0,
„Tak,0,0,0,
plav,0,0,0,
a,0,0,0,
bud,0,0,0,
"rád,",0,0,0,
že,0,0,0,
jsme,0,0,0,
tě,0,0,0,
nesežrali!”,0,0,0,
vykřikl,0,0,0,
syn.,0,0,0,
Ryba,0,0,0,
se,0,0,0,
potopila,0,0,0,
a,0,0,0,
hned,0,0,0,
vzápětí,0,0,0,
zase,0,0,0,
"vynořila,",0,0,0,
avšak,0,0,0,
namísto,0,0,0,
očekávaného,0,0,0,
"bystrého,",1,0,0,
ne-li,0,0,0,
přímo,0,0,0,
vděčného,1,0,0,
švihnutí,0,0,0,
ocasní,0,0,0,
ploutví,0,0,0,
se,0,0,0,
"pomalu,",0,0,0,
ale,0,0,0,
nezadržitelně,0,0,0,
otočila,0,0,0,
světlým,0,0,0,
břichem,0,0,0,
vzhůru.,0,0,0,
Dítě,0,0,0,
okamžitě,0,0,0,
zvážnělo,0,0,0,
a,0,0,0,
nervózně,0,0,0,
vzhlédlo,0,0,0,
k,0,0,0,
otci.,0,0,0,
„Není,0,0,0,
"mrtvej,",0,0,0,
že,0,0,0,
ne?”,0,0,0,
tázalo,0,0,0,
se,0,0,0,
s,1,1,1,
úzkostí,0,0,0,
v,1,0,1,
hlase.,0,0,0,
Oskar,0,0,0,
se,0,0,0,
snažil,0,0,0,
skrýt,1,0,1,
paniku,0,0,0,
a,0,0,0,
s,1,0,1,
předstíraným,0,0,0,
klidem,0,0,0,
se,0,0,0,
"díval,",0,0,0,
jak,0,0,0,
ledový,0,0,0,
černý,0,0,0,
proud,0,0,0,
unáší,0,1,0,
nehybné,0,0,0,
rybí,0,0,0,
tělo,0,0,0,
kamsi,0,0,0,
k,0,0,0,
pilířům,0,0,0,
železničního,0,0,0,
mostu.,0,0,0,
"„Neboj,",0,0,0,
bude,0,0,0,
v,1,1,1,
"pohodě,”",0,0,0,
ujistil,0,0,0,
syna.,0,0,0,
„Za,1,1,1,
chvíli,0,0,0,
se,0,0,0,
vzpamatuje.”,0,0,0,
"„Určitě,",0,0,0,
tati?”,0,0,0,
řekl,0,0,0,
chlapec,0,0,0,
a,0,0,0,
zajíkl,0,0,0,
se.,0,0,0,
„Určitě,0,0,0,
se,0,0,0,
vzpamatuje?”,0,0,0,
Oskar,0,0,0,
jeho,0,0,0,
pohled,0,0,0,
nedokázal,0,0,0,
snést.,1,1,1,
„Určitě.,0,0,0,
Vždycky,0,0,0,
pár,0,0,0,
vteřin,0,0,0,
"trvá,",0,0,0,
než,0,0,0,
se,0,0,0,
mu,0,0,0,
zase,0,0,0,
okysličí,0,0,0,
krev.”,0,0,0,
"„Přísahej,”",0,0,0,
žádal,0,0,0,
ho,0,0,0,
syn.,0,0,0,
V,0,0,0,
jeho,0,0,0,
očích,0,0,0,
byly,0,0,0,
slzy.,0,0,0,
Oskar,0,0,0,
k,0,0,0,
němu,0,0,0,
přiklekl,0,0,0,
a,0,0,0,
uchopil,0,0,0,
ho,0,0,0,
za,0,0,0,
ramena.,0,0,0,
„Přísahám,0,0,0,
"ti,",0,0,0,
že,0,0,0,
se,0,0,0,
za,1,1,1,
chvíli,0,0,0,
vzpamatuje!”,0,0,0,
řekl,0,0,0,
s,1,0,0,
maximální,0,0,0,
možnou,0,0,0,
přesvědčivostí.,0,0,0,
V,1,1,1,
duchu,1,1,1,
se,0,0,0,
"modlil,",0,0,0,
aby,0,0,0,
toho,0,0,0,
leklýho,0,0,0,
chcípáka,0,0,0,
konečně,0,0,0,
ztratili,0,1,0,
z,0,1,0,
dohledu.,0,1,0,
Ani,0,0,0,
večer,0,0,0,
se,0,0,0,
příliš,0,0,0,
nepovedl.,0,0,0,
Po,1,1,1,
dvaceti,0,0,0,
letech,0,0,0,
konečně,0,0,0,
vidíme,0,0,0,
na,0,0,0,
konci,0,0,0,
dlouhého,0,0,0,
a,0,0,0,
vysilujícího,1,1,1,
tunelu,1,1,1,
první,0,0,0,
paprsky,1,1,1,
světla.,1,1,1,
Jak,0,0,0,
upozorňoval,0,0,0,
pan,0,0,0,
poslanec,0,0,0,
Milana,0,0,0,
a,0,0,0,
"další,",0,0,0,
ještě,0,0,0,
mnoho,0,0,0,
toho,0,0,0,
zbývá,0,0,0,
"udělat,",0,0,0,
ale,0,0,0,
mnozí,0,0,0,
z,0,1,0,
nás,0,0,0,
se,0,0,0,
připravovali,0,0,0,
na,0,1,1,
nejhorší,0,0,0,
a,0,0,0,
"očekávali,",0,0,0,
že,0,0,0,
znovu,0,0,0,
propukne,0,0,0,
občanská,0,0,0,
válka.,0,0,0,
Blahopřeji,0,0,0,
proto,0,0,0,
severu,0,1,0,
i,0,0,0,
jihu,0,1,0,
země,0,0,0,
k,1,1,1,
prvním,0,0,0,
výsledkům,0,0,0,
tohoto,0,0,0,
referenda,0,0,0,
Až,1,1,0,
do,1,1,0,
vyhlášení,1,1,1,
nezávislosti,0,0,0,
záleží,0,0,0,
na,1,1,1,
každém,0,0,0,
dni.,0,0,0,
Nikdo,0,0,0,
si,0,0,0,
nemůže,0,0,0,
dovolit,0,0,0,
udělat,0,0,0,
chybný,1,1,1,
"krok,",1,1,1,
ani,0,0,0,
v,0,0,0,
"Chartúmu,",0,0,0,
ani,0,0,0,
v,0,0,0,
"Jubě,",0,0,0,
ani,0,0,0,
v,0,0,0,
Bruselu,0,0,0,
nebo,0,0,0,
v,0,1,0,
Africké,0,0,0,
unii,0,0,0,
v,0,0,0,
Addis,0,0,0,
Abebě.,0,0,0,
Například,0,0,0,
je,0,0,0,
určitě,0,0,0,
zapotřebí,0,0,0,
uvítat,1,1,1,
myšlenku,0,0,0,
otevřít,1,1,1,
delegaci,0,0,0,
EU,0,0,0,
se,0,1,0,
zvláštním,0,0,0,
"statusem,",0,0,0,
dokud,0,0,0,
nebude,0,0,0,
skutečně,0,0,0,
vyhlášena,1,1,1,
nezávislost.,0,0,0,
Súdán,1,1,0,
se,0,0,0,
chystá,1,1,1,
"nám,",0,0,0,
mezinárodnímu,0,0,0,
"společenství,",0,0,0,
pěkně,1,1,1,
spočítat,1,1,1,
cynismus,0,0,0,
a,0,0,0,
"krize,",0,0,0,
které,0,0,0,
mnohdy,0,0,0,
spíše,0,0,0,
z,1,1,1,
rezignace,0,0,1,
než,0,0,0,
jiného,0,0,0,
důvodu,0,0,0,
považujeme,0,0,0,
za,1,1,1,
neřešitelné.,0,0,0,
Pane,0,0,0,
"předsedající,",0,0,0,
"vítám,",1,1,0,
že,0,0,0,
jižní,0,0,0,
Súdán,0,0,0,
bude,0,0,0,
"nezávislý,",0,0,0,
a,0,0,0,
blahopřeji,0,0,0,
obyvatelům,0,0,0,
jižního,0,0,0,
Súdánu,0,0,0,
k,1,1,1,
"tomu,",0,0,0,
že,0,0,0,
toho,0,0,0,
dosáhli.,1,1,1,
Jak,0,0,0,
před,1,1,1,
chvílí,0,0,0,
řekl,0,0,0,
pan,0,0,0,
kolega,0,0,0,
poslanec,0,0,0,
"Goerens,",0,0,0,
jenž,0,0,0,
byl,0,0,0,
tak,0,0,0,
laskav,0,0,0,
a,0,0,0,
obrátil,1,1,0,
se,0,0,0,
při,1,1,1,
této,0,0,0,
příležitosti,0,0,0,
na,1,1,1,
"mne,",0,0,0,
lidé,0,0,0,
mohou,0,0,0,
mít,1,1,1,
právo,0,0,0,
na,1,1,1,
"to,",0,0,0,
aby,0,0,0,
nemuseli,0,0,0,
žít,0,0,0,
podle,0,1,1,
práva,0,0,0,
šaría.,0,0,0,
Jejich,0,0,0,
právo,0,0,0,
musíme,0,0,0,
ctít.,0,0,1,
Musím,0,0,0,
nicméně,0,0,0,
také,0,0,0,
"podotknout,",0,0,0,
že,0,0,0,
jen,0,0,0,
někteří,0,0,0,
mají,1,0,1,
to,0,0,0,
"štěstí,",0,0,0,
že,0,0,0,
dostanou,1,0,1,
možnost,0,0,0,
získat,1,0,1,
právo,0,0,0,
na,1,1,1,
takovou,0,0,0,
svobodu.,0,0,0,
Obyvatelé,0,0,0,
nedalekého,0,0,0,
Somálijska,0,0,0,
tuto,0,0,0,
možnost,0,0,0,
nemají.,1,0,1,
Přál,0,0,0,
bych,0,0,0,
"si,",0,0,0,
abychom,0,0,0,
přehodnotili,1,0,1,
naši,0,0,0,
"politiku,",0,0,0,
která,0,0,0,
se,0,0,0,
až,1,1,0,
dosud,0,0,0,
vyznačovala,1,1,1,
"tím,",0,0,0,
že,0,0,0,
jsme,0,0,0,
neuznávali,0,0,0,
