type,model_only,preds,human_only,poss,second_label,words,labels,direct_en_translation,type_label
,0,0,0,VERB,0,Blahopřeji,0,,
,0,0,0,CCONJ,0,proto,0,,
,0,0,0,NOUN,0,severu,0,,
,0,0,0,CCONJ,0,i,0,,
,0,0,0,NOUN,0,jihu,0,,
,0,0,0,NOUN,0,země,0,,
,0,1,0,ADP,1,k,1,,
,0,0,0,ADJ,0,prvním,0,,
,0,0,0,NOUN,0,výsledkům,0,,
,0,0,0,DET,0,tohoto,0,,
,0,0,0,NOUN,0,referenda,0,,
,0,0,0,DET,0,Žádná,0,,
,0,0,0,ADJ,0,jiná,0,,
,0,0,0,NOUN,0,opice,0,,
,0,0,0,ADV,0,tak,0,,
,0,0,0,ADV,0,rychle,0,,
,0,0,0,VERB,0,běhat,0,,
,0,0,0,VERB,0,neumí,0,,
,0,0,0,PUNCT,0,",",0,,
,0,0,0,NOUN,0,kočkodan,0,,
,0,0,0,ADJ,0,husarský,0,,
,0,0,0,AUX,0,je,0,,
,0,0,0,CCONJ,0,proto,0,,
c,1,1,0,NOUN,1,držitelem,0,1,c
,0,0,0,ADJ,0,rychlostního,0,,
,0,0,0,NOUN,0,rekordu,0,,
,0,0,0,ADJ,0,opičích,0,,
,0,0,1,NOUN,1,atletů,1,1,n
,0,0,0,PUNCT,0,.,0,,
,0,1,0,ADP,1,v,1,,
,0,0,0,NUM,0,šest,0,,
,0,0,0,NOUN,0,hmm,0,,
,0,0,0,PART,0,jo,0,,
,0,0,0,PUNCT,0,",",0,,
,0,0,0,SCONJ,0,takže,0,,
,0,0,0,PUNCT,0,",",0,,
,0,0,1,VERB,1,vidíš,1,1,c
,0,0,0,PUNCT,0,.,0,,
,0,0,0,CCONJ,0,I,0,,
,0,0,0,SCONJ,0,když,0,,
,0,0,0,AUX,0,by,0,,
,0,0,1,PRON,1,se,1,0,c
,0,0,0,VERB,0,mohlo,0,,
,0,0,1,VERB,1,zdát,1,0,c
,0,0,0,PUNCT,0,",",0,,
,0,0,0,SCONJ,0,že,0,,
,0,0,0,ADV,0,převážně,0,,
,0,0,0,ADJ,0,stromové,0,,
,0,0,0,NOUN,0,opice,0,,
,0,0,0,ADV,0,moc,0,,
,0,0,0,ADJ,0,dobří,0,,
,0,0,0,NOUN,0,běžci,0,,
,0,0,0,AUX,0,nebudou,0,,
,0,0,0,PUNCT,0,",",0,,
,0,0,0,NOUN,0,opak,0,,
,0,0,0,AUX,0,je,0,,
,0,0,0,NOUN,0,pravdou,0,,
,0,0,0,PUNCT,0,.,0,,
,0,0,0,ADV,0,Později,0,,
,0,0,0,DET,0,to,0,,
,0,0,0,PART,0,prý,0,,
,0,0,0,VERB,0,nejde,0,,
,0,0,0,PUNCT,0,",",0,,
,0,0,0,VERB,0,odjíždějí,0,,
,0,0,1,ADP,1,na,1,,c
,0,0,0,NOUN,0,hory,0,,
,0,0,0,PUNCT,0,",",0,,
,0,0,0,VERB,0,dostalo,0,,
,0,0,0,PRON,0,se,0,,
,0,0,0,PRON,0,mu,0,,
,0,0,0,NOUN,0,vysvětlení,0,,
,0,0,0,PUNCT,0,.,0,,
,0,0,0,NOUN,0,Vzpěrač,0,,
,0,0,0,VERB,0,musí,0,,
,0,0,0,VERB,0,mít,0,,
,0,0,0,ADV,0,nejen,0,,
,0,0,0,ADJ,0,silné,0,,
,0,0,0,NOUN,0,paže,0,,
,0,0,0,PUNCT,0,",",0,,
,0,0,0,CCONJ,0,ale,0,,
,0,0,0,CCONJ,0,i,0,,
,0,0,0,NOUN,0,nohy,0,,
,0,0,0,CCONJ,0,a,0,,
,0,0,0,ADJ,0,svalnatá,0,,
,0,0,0,NOUN,0,záda,0,,
,0,0,0,PUNCT,0,",",0,,
,0,0,1,ADP,1,s,1,,c
,0,0,0,DET,0,jejichž,0,,
,0,0,0,NOUN,0,pomocí,0,,
,0,0,0,VERB,0,zdvihá,0,,
,0,0,0,NOUN,0,zátěž,0,,
,0,0,0,ADP,0,nad,0,,
,0,0,0,NOUN,0,hlavu,0,,
,0,0,0,PUNCT,0,.,0,,
,0,0,0,VERB,0,Mohou,0,,
,0,0,0,ADV,0,takto,0,,
,0,0,0,NOUN,0,vzduchem,0,,
,0,0,0,VERB,0,létat,0,,
,0,0,0,NOUN,0,rychlostí,0,,
,0,0,0,PART,0,až,0,,
,0,0,0,NUM,0,55,0,,
,0,0,0,NOUN,0,km,0,,
,0,0,0,PUNCT,0,/,0,,
,0,0,0,NOUN,0,hod,0,,
,0,0,0,PUNCT,0,.,0,,
,0,0,0,PUNCT,0,",",0,,
,0,0,0,CCONJ,0,tj,0,,
,0,0,0,PUNCT,0,.,0,,
,0,0,0,ADV,0,stejně,0,,
,0,0,0,ADV,0,rychle,0,,
,0,0,0,SCONJ,0,jako,0,,
,0,0,0,ADJ,0,nejrychlejší,0,,
,1,1,0,ADJ,0,n,0,,
,0,0,1,NOUN,1,sprinter,1,1,n
,0,0,0,PUNCT,0,",",0,,
,0,0,0,CCONJ,0,a,0,,
,0,0,1,VERB,1,překonávají,1,0,c
,0,0,0,NOUN,0,vzdálenost,0,,
,0,0,0,PART,0,až,0,,
,0,0,0,NUM,0,15,0,,
,0,0,0,NOUN,0,m,0,,
,0,0,0,PUNCT,0,",",0,,
,0,0,0,AUX,0,jsou,0,,
,0,0,0,CCONJ,0,tedy,0,,
,0,0,0,ADJ,0,lepší,0,,
,0,0,0,SCONJ,0,než,0,,
