word,label
Když,0
po,1
představení,0
vyšel,0
"ven,",0
byla,0
už,0
tma.,0
Na,1
rohu,1
Spálené,0
ulice,0
uviděl,0
dva,0
muže,0
v,0
zakrvácených,0
gumových,0
zástěrách,0
prodávající,0
"kapry,",0
voda,0
ze,0
žlutých,0
kádí,0
přetékala,0
přes,0
okraj,0
na,0
"chodník,",0
kde,0
přimrzala.,0
Obchody,0
už,0
pomalu,1
"zavíraly,",1
ale,0
na,1
Staroměstském,0
náměstí,0
bylo,0
dosud,0
rušno:,0
vyhrávaly,0
tu,0
koledy,0
a,0
pod,0
vysokou,0
rozzářenou,1
jedlí,0
stála,0
realistická,0
maketa,0
chléva,0
s,0
"opravdovými,",0
živými,0
"zvířaty,",0
která,0
si,0
kolemjdoucí,0
děti,0
mohly,0
pohladit.,0
Oskar,0
u,0
jednoho,0
z,1
početných,0
stánků,0
vypil,0
dva,0
kelímky,0
svařeného,0
vína,0
a,0
vydal,1
se,0
domů.,0
Když,0
ve,1
své,1
čtvrti,0
vystupoval,0
z,0
"tramvaje,",0
všiml,0
si,0
"drobné,",0
nepříliš,0
hezké,0
mladé,0
"ženy,",0
prodávající,0
na,1
téměř,0
liduprázdném,0
náměstí,0
vánoční,0
"stromky,",0
vypadala,0
v,0
té,0
své,0
dřevěné,0
ohrádce,0
tak,0
promrzle,0
a,0
"osaměle,",0
až,1
jí,0
Oskarovi,0
přišlo,1
líto.,0
Od,1
rozvodu,0
si,0
vánoční,0
stromek,0
nekoupil,0
ani,0
"jedenkrát,",0
ale,0
nyní,0
ho,0
vypité,0
víno,0
a,0
možná,0
i,0
jakýsi,0
neurčitý,0
chvilkový,0
sentiment,0
přiměly,0
udělat,1
výjimku.,0
Nebyl,0
si,0
sice,0
"jistý,",0
jestli,0
se,0
dokáže,0
na,1
prodavačku,0
aspoň,0
trochu,0
usmívat,0
ale,0
podařilo,0
se,0
mu,0
to.,0
„Dobrý,1
"večer,”",0
promluvil.,0
„Nějaký,0
malý,0
prosím,0
vás.”,0
"Vědomí,",0
že,0
dělá,0
"dobrý,",0
ne-li,0
přímo,1
křesťanský,0
skutek,0
mu,0
dokonce,0
přineslo,1
jisté,1
malé,1
sebeuspokojení.,0
„Smrček?”,0
zeptala,0
se.,0
Podpora,1
reformních,0
procesů,0
a,0
plnění,1
existujících,0
nařízení,0
posune,1
proces,0
vstupu,1
Turecka,0
"dopředu,",1
směrem,1
k,1
výhodám,0
pro,0
všechny,0
obyvatele,0
Turecka.,0
Přesto,0
závisí,0
pokrok,0
v,1
procesu,0
přistoupení,1
v,1
podstatné,0
míře,0
a,0
především,0
na,1
chování,1
Turecka.,0
člen,0
Komise.,0
Vážený,0
pane,0
"předsedo,",0
dovolte,0
mi,0
v,1
první,0
řadě,1
poblahopřát,0
pani,0
Oomenové-Ruijtenové,0
k,1
její,0
výstižné,0
zprávě,0
a,0
k,1
"návrhu,",0
který,0
je,0
důkladný,0
a,0
zároveň,0
spravedlivý.,0
Začátkem,0
tohoto,0
roku,0
prošlo,1
Turecko,0
velmi,0
náročným,0
obdobím,0
vážné,1
ústavní,0
krize,0
a,0
politického,0
napětí.,1
I,0
přes,1
tento,0
složitý,0
problém,0
uskutečnilo,1
Turecko,0
své,1
parlamentní,0
a,0
prezidentské,0
volby,0
v,1
duchu,1
demokratických,0
zásad,0
a,0
s,1
velmi,0
vysokou,1
účastí,0
obyvatelstva.,0
"Sháněl,",0
zabíjel,0
a,0
smažil,0
"kapry,",0
kupoval,0
a,0
zdobil,0
"stromek,",0
pečlivě,0
balil,0
dárky,0
a,0
k,1
večeři,0
se,0
převlékal,0
do,0
slavnostního.,0
Všechny,0
ty,0
obvyklé,0
věci.,0
Když,0
se,0
před,1
třemi,0
lety,0
"rozvedl,",0
Vánoce,0
pro,0
něho,0
prakticky,0
ztratily,1
smysl.,0
Také,0
letošní,0
svátky,0
klidu,0
a,0
míru,0
byly,0
jen,0
nepříjemnou,0
připomínkou,0
"skutečnosti,",0
že,0
bez,0
rodiny,0
není,0
jaksi,0
co,0
oslavovat.,0
Oskar,0
sice,0
zrovna,0
chodil,1
s,0
jistou,0
mladou,0
"dívkou,",0
ale,0
tu,0
tak,0
často,0
přesvědčoval,0
o,0
své,0
potřebě,0
samoty,0
a,0
"nezávislosti,",0
že,0
ji,0
po,0
pravdě,0
řečeno,0
vůbec,0
"nenapadlo,",1
aby,0
na,1
Vánoce,0
zůstala,0
s,0
"ním,",0
a,0
odjela,0
na,1
čtrnáct,0
dní,0
k,0
rodičům,0
na,1
Moravu.,0
Kdyby,0
"mohl,",0
nejradši,0
by,0
se,0
na,1
celý,0
ty,0
slavný,1
Vánoce,0
"vykašlal,",1
říkal,0
si,0
Oskar -,0
jenže,0
nemohl.,0
Jednak,0
tu,1
byli,0
rodiče,0
a,0
ostatní,0
"příbuzní,",0
a,0
pak,0
tu,1
byl,0
jeho,0
syn.,0
Především,0
kvůli,0
němu,0
Oskar,0
tradici,0
"Vánoc,",0
tu,0
poloviční,0
"mrtvolu,",1
každoročně,0
s,1
odporem,0
resuscitoval:,1
za,0
jediné,0
odpoledne,0
nakoupil,0
"dárky,",0
uklidil,0
jakž,0
takž,0
"byt,",0
koupil,0
pár,0
smrkových,0
"větví,",0
strčil,0
je,0
do,0
"vázy,",0
vyštrachal,0
několik,0
zaprášených,0
ozdob,0
a,0
dvě,0
tři,0
použitelné,0
svíčky,0
a,0
bylo,0
to.,0
Syna,0
(v,1
listopadu,0
mu,0
bylo,0
sedm),0
mu,0
tentokrát,0
bývalá,0
manželka,0
přivezla,0
už,0
osmnáctého,0
prosince,0
"ráno,",0
zítra,0
