word,ann1
Kdyby,0
někdo,0
uspořádal,1
atletické,0
přebory,0
mezi,1
"opicemi,",0
sešla,1
by,1
se,1
na,0
stupních,0
vítězů,0
různých,0
disciplín,0
docela,0
pestrá,1
škála,0
druhů.,0
Většina,0
opic,0
„trénuje“,1
jen,0
jednu,0
disciplínu.,0
Někteří,0
opičí,0
atleti,1
jsou,0
např.,0
výborní,0
"sprinteři,",1
ale,0
skoky,0
do,1
dálky,0
či,0
plavání,0
jim,0
moc,0
nejde.,1
Každý,0
druh,0
totiž,0
trénuje,1
jen.1,0
"to,",0
co,0
ve,1
svém,0
prostředí,0
nutně,0
potřebuje,1
k,1
přežití.,0
V,1
tom,0
pak,0
ale.1,0
dosahuje,1
vynikajících,0
výsledků.,0
Sprintem,0
do.1,1
bezpečí.,0
Za,1
královskou,1
disciplínu,0
se.1,0
v,1
atletice,0
považuje,0
sprint.,0
I,0
když,0
by.1,0
se.2,1
mohlo,0
"zdát,",1
že,0
převážně,0
stromové,0
opice,0
moc.1,0
dobří,0
běžci,0
"nebudou,",0
opak,0
je,0
pravdou.,0
V.1,0
savanách,0
subsaharské,0
Afriky,0
žije,1
"kočkodan,",0
který,0
díky,0
svému,0
„kníru“,1
dostal,0
jméno,0
husarský,0
(Erythrocebus,0
patas).,0
V.2,0
jeho,0
domovině,0
moc.2,0
stromů,0
"neroste,",0
během,0
dne,0
se.3,0
proto,0
pohybuje,0
převážně.1,0
na.1,0
zemi,0
a,0
na.2,0
stromy,0
se.4,0
uchyluje,0
jen.2,0
na.3,1
noc.,0
Na,0
stromech,0
nehledá,1
ani,0
bezpečí,0
před,1
nepřáteli,0
a.1,0
dává,1
přednost,0
rychlému,0
útěku,0
po,0
zemi.,0
Dokáže,1
přitom,0
vyvinout,1
rychlost,0
až,0
55 km/hod.,0
Žádná,0
jiná,0
opice.1,0
tak,0
rychle,0
běhat,0
"neumí,",0
kočkodan,0
husarský.1,0
je.1,0
proto.1,0
držitelem,0
rychlostního,0
rekordu,0
opičích,0
atletů.,1
Rekord,0
bez,1
rozběhu.,0
Oblíbenou,0
disciplínou,0
mezi.1,1
opicemi,0
je.2,0
skok,0
do.2,1
dálky.,0
Málokterá,0
má,0
ale.2,0
tak.1,0
čistý,1
"styl,",0
jako,0
madagaskarský,0
indri,0
(Indri,0
indri).,0
Ten,0
se.5,0
odráží,0
jako.1,0
lidé,0
pouze,0
zadními,0
končetinami,0
a.2,0
během.1,0
skoku,0
drží,1
tělo,0
vzpřímeně.,0
Zadní,0
končetiny,0
má.1,0
mimořádně,0
"silné,",0
jejich,0
mohutný,0
odraz,0
ho,0
snadno,0
přenese,1
až.1,0
na.4,1
vzdálenost,0
10 m.,0
A,0
protože,0
se.6,0
tento,0
rekordní,0
výkon,0
odehrává,0
vysoko,0
v.1,1
korunách,1
"stromů,",0
kde,0
indri.1,0
překonává,0
vzdálenost.1,0
mezi.2,0
dvěma,0
"kmeny,",0
nemůže,0
se.7,0
rozběhnout.,0
Celý,0
ten,0
desetimetrový,0
skok.1,0
zvládne,0
odrazem,0
z,0
místa!,0
"Kdoví,",0
kam,0
až.2,0
by.2,0
"doskočil,",0
kdyby,0
skákal,0
s,1
rozběhem.,0
Neuvěřitelné,0
výkony,0
opic.,0
Posilování,0
s.1,0
kamenem.,0
Vzpěrač,0
musí,0
mít,0
nejen,0
silné,0
"paže,",0
ale.3,0
i,0
nohy,0
a.3,0
svalnatá,0
"záda,",0
s.2,1
jejichž,0
pomocí,0
zdvihá,0
zátěž,0
nad,0
hlavu.,0
Přesně,0
takto,0
vypadají,0
opičí.1,0
vzpěrači,1
malpy,0
pruhohřbeté,0
(Sapajus,0
libidinosus).,0
Až,0
na.5,1
drobný,0
rozdíl -,0
nevzpírají,1
"činky,",0
ale.4,0
kameny.,0
Živí,0
se.8,0
těmi,0
nejtvrdšími,0
"ořechy,",0
jaké,0
v.2,0
jihoamerické,0
džungli,0
"rostou,",0
a.4,0
jako.2,0
jediní,0
zdejší,0
obyvatelé,0
si,0
s.3,0
jejich.1,0
skořápkou,0
umí,0
poradit.,0
Malpa,0
si.1,0
ořech,0
položí,0
na.6,0
vystouplý,0
"kořen,",0
nad.1,0
hlavu,0
zvedne,0
co.1,0
nejtěžší,0
kámen,0
a.5,0
jeho.1,0
vahou,0
skořápku,0
rozbije.,0
Než,0
se.9,1
"naobědvá,",1
mnohokrát,0
tento.1,0
vzpěračský,0
výkon.1,0
zopakuje.,0
A.1,0
protože.1,0
si.2,0
nikdy,0
není,0
"jistá,",0
že.1,0
najde,0
vhodný,0
kámen.1,0
"pokaždé,",0
když.1,0
ho.1,0
"potřebuje,",0
posiluje,1
i.1,0
za,1
chůze -,0
pro,0
jistotu,0
si.3,0
ho.2,0
nosí,0
s.4,0
sebou.,0
Rybařící,0
opice.,0
Plavání,0
se.10,0
mnoho,0
opic.1,0
nevěnuje.,0
Plavecký,0
přeborník,1
makak,0
jávský,0
(Macaca,0
fascicularis),0
proto.2,0
nemá,0
velkou,0
konkurenci.,0
Navzdory,0
českému,0
jménu,0
nežije,0
jen.3,0
na.7,0
"Jávě,",0
obývá,0
všechny,0
indonéské,0
"ostrovy,",0
běžný,0
je.3,0
i.2,0
v.3,0
téměř,0
celé,0
Zadní.1,0
Indii.,0
Nejraději,0
má.2,0
hustě,0
zalesněné,0
břehy,0
řek,0
nebo,0
pobřežní,0
mangrovy.,0
Blízkost,0
vody,0
vyhledává,0
"záměrně,",0
je.4,0
vynikající,0
plavec,1
a.6,0
ve.1,0
vodě,0
nehledá.1,0
jen.4,0
"potravu,",0
ale.5,0
i.3,0
záchranu,0
před.1,1
predátory.,0
I.1,0
k.1,1
odpočinku,0
si.4,0
vybírá,0
"stromy,",0
jejichž.1,0
větve,0
sahají,1
nad.2,0
"hladinu,",0
aby,0
mohl,0
v.4,1
případě,0
nebezpečí,0
jen.5,0
seskočit,0
a.7,0
rychle.1,0
odplavat,0
pryč.,0
O,1
"tom,",0
jak,0
skvělý,0
je.5,0
"plavec,",1
svědčí,1
"to,.1",0
že.2,0
má.3,0
ve.2,1
svém.1,0
pestrém,1
jídelníčku,0
zařazeny,0
i.4,0
"ryby,",0
které,0
si.5,0
dovede,0
ve.3,0
vodě.1,0
sám,0
ulovit.,0
Bez,0
"udice,",0
jen.6,0
tak.2,0
rukama!,0
Vzdušní,0
akrobaté.,0
Nejoblíbenějším,0
opičím,0
sportem,1
je.6,0
sportovní,0
gymnastika.,0
Ale,0
výkony.1,0
některých,0
druhů,0
už,0
hraničí,0
se.11,0
vzdušnou,0
"akrobacií,",0
v.5,1
níž,0
jsou.1,0
jednoznačně,0
nejlepší,0
giboni,0
(čeleď,0
Hylobatidae).,0
Z,0
místa,0
na.8,0
místo,0
se.12,0
přemísťují,0
originálním,0
"způsobem,",0
při,0
němž,0
místo.1,0
nohou,0
používají,0
paže.,0
Jejich,0
"pohyb,",0
kdy,0
se.13,0
mohutným,0
zhoupnutím,0
a.8,0
švihem,0
paže,0
přemísťují.1,0
z.1,0
jedné,0
větve.1,0
na.9,0
"druhou,",0
se.14,0
odborně,0
jmenuje,0
brachiace,0
a.9,0
gibboni,0
v.6,1
něm,0
překonávají,0
nejeden,0
atletický,0
rekord.,0
Mohou,0
takto.1,0
vzduchem,0
létat,0
rychlostí,0
až.3,0
"55 km/hod.,",0
tj.,0
stejně,0
rychle.2,0
jako.3,0
nejrychlejší,0
opičí.2,0
"sprinter,",1
a.10,0
překonávají.1,0
vzdálenost.2,0
až.4,0
"15 m,",0
jsou.2,0
tedy,0
lepší,0
než,0
dálkař,1
indri.,0
Zato,0
v.7,1
plavání.1,0
by.3,0
zcela,0
propadli -,1
plavat,0
neumí,0
vůbec.,0
