word,ann1
a,0
co,0
Nikolka,0
kdyžs,0
jí,0
to,0
"dala,",0
"říká,",0
já,0
takový,0
doma,0
mám.,0
já.1,0
říkám.,0
jo.,0
přesně.,0
"ano,",0
a.1,0
já.2,0
sem,0
jí.1,0
a.2,0
už,0
předtým,0
sem.1,0
jí.2,0
říkala.,0
já.3,0
sem.2,0
ti,0
kúpila,0
takový.1,0
oranžový,0
nátělníček,0
a.,0
ona,0
"říká,.1",0
já.4,0
sem.3,0
si,0
na,1
to.1,0
akorát,0
myslela.,0
že,0
bych,0
od,1
tebe,0
mohla,0
dostat,0
neco,0
"oranžového,",0
ne,0
ju,0
nekdy,0
fakt,0
napadne,1
ona.1,0
má,0
takové,0
jakože,0
hlášky.,1
že.1,0
to.2,0
to.3,0
bys.,0
jako,0
ona.2,0
zkouší,0
no.,0
ale,0
má.1,0
doma.1,0
ňáký,0
oranžový.1,0
ale.1,0
mmm,0
ne.1,0
šatičky,0
jako.1,0
má.2,0
enom,0
ňáké,0
tričko.,0
má.3,0
tričko,0
oranžové,0
to.4,0
vlastně,0
dostala,0
ode,1
"mě,",0
jedno.,0
pak,0
má.4,0
eště,0
druhé,0
"ňáké,",0
ale.2,0
jako.2,0
šatičky.1,0
oranžové.1,0
nemá.,0
ale.3,0
tak,0
to.5,0
ona.3,0
všechno,0
pláce,1
dohromady-,0
ale.4,0
ne.2,0
šak,0
to.6,0
je,0
takový.2,0
nátělník.,0
"ale,",0
a.3,0
tož,0
tak.1,0
no..1,0
tak.2,0
sem.4,0
ale.5,0
já.5,0
sem.5,0
tento,0
týden,0
neměla,0
čas,0
"to,",0
já.6,0
sem.6,0
si.1,0
myslela,0
že.2,0
to.7,0
tam,0
bude,0
že.3,0
to.8,0
přešiju.,0
enomže,0
"sem,",0
jezdila,0
do,0
toho,0
"Kyjova,",0
pracovně.,0
takže,0
to.9,0
já.7,0
nemám,0
"čas,",0
já.8,0
dyž,0
su,0
v,0
Kyjově,0
tak.3,0
dojedu,0
dom,0
o,1
půl,0
"šesté,",0
fakt?,0
"ano,.1",0
já.9,0
"jedu,",0
eee.,0
tam.1,0
je.1,0
totiž,0
pracovní,0
doba,0
od.1,1
osmi,0
do.1,1
"čtyřech,",0
otevřené,1
je.2,0
tam.2,0
od.2,1
osmi.1,0
do.2,1
čtyř.,0
takže.1,0
já.,0
vyjedu,1
v.1,1
"sedum,",0
ráno,0
z,0
Veselí.,0
ve,1
štyři,0
"zavírám,",1
a.4,0
šesnác,0
třicet,0
pět,0
mně,0
jede,0
"vlak,",0
takže.2,0
je.3,0
až,0
po,1
páté,0
ve.1,0
Veselí,0
a.5,0
já.10,0
fakt.1,0
dojdu,0
dom.1,0
o.1,1
půl.1,0
"šesté,.1",0
ty,0
jo,0
a.6,0
v.2,1
kolik,0
vycház*,0
v.3,1
kolik.1,0
vstáváš,1
"ráno,",0
eee..1,0
v.4,1
šest,0
hmm,0
"jo,",0
"takže,",0
vidíš.,1
jako.,0
v.5,0
Kyjově.1,0
zas,0
odpočívám,0
teda,0
tam.3,0
nikdo,0
"nechodí,",1
ale.6,0
"tož,",0
je.4,0
to.10,0
tam.,0
nadlúho.,0
a.7,0
nechodí,1
tam.4,0
moc,0
lidí,0
jako?,0
tam.5,0
nechodí.,1
tam.6,0
fakt.2,0
třeba,0
je.5,0
deset,0
lidí.1,0
za,1
"den,",0
a.8,0
ve.2,0
Veselí.1,0
víc.,0
"jako,",0
no,0
ve.3,0
Veselí.2,0
jeden,0
za.1,1
"druhým,",0
a.9,0
jakto?,0
jak.,0
tož.1,0
v.6,0
Kyjově.2,0
"máme,",0
tisíc,0
pojištěnců,0
u,1
nasí,0
u.1,1
naší,0
"pojišťovny,",0
a.10,0
ve.4,0
Veselí.3,0
přes,1
šest.1,0
"tisíc,",0
takže.3,0
vlastně.1,0
logicky,0
k,1
nám,0
chodí,1
šestkrát,0
tolik,0
"lidí,",0
takže.4,0
dyž.1,0
do.3,0
Kyjova,0
dojde,1
deset.1,0
tak.4,0
k.1,1
nám.1,0
šedesát,0
"že,",0
a.11,0
jaktože,0
je.6,0
tady,0
toli*,0
o.2,1
tolik.1,0
víc,0
jako?.1,0
tož.2,0
"protože,",0
tady.1,0
