word,ann1,ann2,ann3
vysilujícího,0,0,0
tunelu,0,0,0
paprsky,0,0,0
světla.,0,0,0
vyhlášení,1,1,1
chybný,0,0,0
"krok,",0,0,0
uvítat,0,0,1
otevřít,0,0,1
vyhlášena,1,1,1
chystá,0,0,0
pěkně,0,0,0
spočítat,0,0,1
dosáhli.,0,0,0
mít,0,0,0
vyznačovala,0,0,0
neexistoval.,0,0,0
dotknout,0,0,0
Vidím,0,0,1
bijící,0,0,1
kladla,0,0,0
křišťálové,0,0,0
koule.,0,0,0
vzkřísilo,0,0,0
spočívá,0,0,0
vyprchá,0,0,0
nadejde,0,0,0
budovat,0,0,0
křehká,0,0,0
věnovat,1,0,1
položit,1,0,0
zavětřili,0,0,1
nezaslepí,0,0,0
budování,0,0,0
proběhlo,0,0,0
vyhlášení,1,1,1
