word,ann3,ann2,ann1
Výsledky,0.0,0.0,0.0
práce,0.0,0.0,0.0
domácích,1.0,1.0,1.0
řemeslníků,0.0,0.0,0.0
a,0.0,0.0,0.0
rovněž,0.0,0.0,0.0
"prospektorů,",0.0,0.0,0.0
kteří,0.0,0.0,0.0
již,0.0,0.0,0.0
tenkrát,0.0,0.0,0.0
křižovali,0.0,0.0,0.0
krajinou,0.0,0.0,0.0
a,0.0,0.0,0.0
hledali,0.0,0.0,0.0
ložiska,0.0,0.0,0.0
železných,0.0,0.0,0.0
i,0.0,0.0,0.0
barevných,1.0,1.0,1.0
a,0.0,0.0,0.0
cenných,0.0,0.0,0.0
"kovů,",0.0,0.0,0.0
se,0.0,0.0,0.0
směňovaly,0.0,0.0,0.0
na,0.0,0.0,0.0
tržištích,0.0,0.0,0.0
v,0.0,0.0,0.0
podhradí,0.0,0.0,0.0
velkých,0.0,0.0,0.0
ústředí,0.0,0.0,0.0
a,0.0,0.0,0.0
na,0.0,0.0,0.0
všeobecně,0.0,0.0,0.0
známých,0.0,0.0,0.0
a,0.0,0.0,0.0
přístupných,0.0,0.0,0.0
místech.,0.0,0.0,0.0
Vedle,1.0,1.0,1.0
trhu,0.0,1.0,0.0
"domácího,",1.0,1.0,1.0
který,0.0,0.0,0.0
asi,0.0,0.0,0.0
při,1.0,1.0,1.0
všeobecně,0.0,0.0,0.0
samozásobitelské,0.0,0.0,0.0
povaze,0.0,1.0,0.0
české,0.0,0.0,0.0
společnosti,0.0,0.0,0.0
desátého,0.0,0.0,0.0
století,0.0,0.0,0.0
příliš,0.0,0.0,0.0
velkého,0.0,0.0,0.0
obratu,1.0,1.0,1.0
"nedociloval,",1.0,1.0,1.0
víme,0.0,0.0,0.0
v,0.0,0.0,0.0
českých,0.0,0.0,0.0
zemích,0.0,0.0,0.0
již,0.0,0.0,0.0
od,1.0,1.0,1.0
samého,0.0,0.0,1.0
počátku,0.0,0.0,0.0
tohoto,0.0,0.0,0.0
věku,0.0,0.0,0.0
o,1.0,1.0,1.0
přítomnosti,0.0,1.0,0.0
dálkového,0.0,0.0,0.0
obchodu,0.0,0.0,0.0
mezinárodního.,0.0,0.0,0.0
Zdá,1.0,1.0,1.0
"se,",1.0,1.0,1.0
že,0.0,0.0,0.0
onou,0.0,0.0,0.0
dobou,0.0,0.0,0.0
opouštěly,1.0,1.0,1.0
Čechy,0.0,0.0,0.0
především,0.0,0.0,0.0
suroviny,0.0,0.0,0.0
a,0.0,0.0,0.0
"polotovary,",0.0,0.0,0.0
například,0.0,0.0,0.0
právě,1.0,1.0,1.0
uvedený,1.0,1.0,1.0
"vosk,",0.0,0.0,0.0
a,0.0,0.0,0.0
případně,0.0,0.0,0.0
též,0.0,0.0,0.0
"zboží,",0.0,0.0,0.0
která,0.0,0.0,0.0
naším,0.0,0.0,0.0
územím,0.0,0.0,0.0
procházela,1.0,1.0,1.0
jako,0.0,0.0,0.0
zásilky,0.0,0.0,0.0
tranzitního,0.0,0.0,0.0
"obchodu,",0.0,0.0,0.0
třeba,0.0,0.0,0.0
saská,0.0,0.0,0.0
sůl,0.0,0.0,0.0
ze,0.0,1.0,0.0
solivarů,0.0,0.0,0.0
v,0.0,0.0,0.0
okolí,0.0,0.0,0.0
Halle,0.0,0.0,0.0
an,0.0,0.0,0.0
der,0.0,0.0,0.0
Saale.,0.0,0.0,0.0
Již,0.0,0.0,0.0
od,1.0,1.0,1.0
doby,0.0,0.0,0.0
kolem,1.0,1.0,1.0
roku,0.0,0.0,0.0
900,0.0,0.0,0.0
však,0.0,0.0,0.0
naši,0.0,0.0,0.0
podnikatelé,0.0,0.0,0.0
nabízeli,0.0,0.0,0.0
na,1.0,1.0,1.0
zahraničních,0.0,0.0,0.0
trzích,0.0,0.0,0.0
"„zboží“,",1.0,1.0,1.0
se,0.0,0.0,0.0
kterým,0.0,0.0,0.0
nemohli,0.0,0.0,0.0
neuspět -,0.0,0.0,0.0
otroky,0.0,0.0,0.0
a,0.0,0.0,0.0
otrokyně.,0.0,0.0,0.0
O,1.0,1.0,1.0
tom,0.0,0.0,0.0
uslyšíme,1.0,0.0,0.0
více,0.0,0.0,0.0
později.,0.0,0.0,0.0
V,0.0,0.0,0.0
zemi,0.0,0.0,0.0
obíhala,0.0,0.0,0.0
celá,0.0,0.0,0.0
řada,1.0,1.0,1.0
směnných,0.0,0.0,0.0
"prostředků,",1.0,1.0,1.0
užívaných,0.0,0.0,0.0
jako,0.0,0.0,0.0
všeobecné,0.0,0.0,0.0
hodnotové,0.0,0.0,0.0
ekvivalenty,0.0,0.0,0.0
nabízených,0.0,0.0,0.0
zboží.,0.0,0.0,0.0
Vedle,1.0,1.0,1.0
stůčků,0.0,0.0,0.0
hedvábí,0.0,0.0,0.0
a,0.0,0.0,0.0
ingotů,0.0,0.0,0.0
z,1.0,1.0,1.0
různých,0.0,0.0,0.0
kovů,0.0,0.0,0.0
standardní,0.0,0.0,0.0
váhy,0.0,0.0,0.0
to,0.0,0.0,0.0
byly,0.0,0.0,0.0
především,0.0,0.0,0.0
pověstné,0.0,0.0,0.0
"šátečky,",1.0,1.0,1.0
o,1.0,1.0,1.0
nichž,0.0,0.0,0.0
se,0.0,0.0,0.0
zmiňuje,0.0,0.0,0.0
emisar,0.0,0.0,0.0
córdobského,0.0,0.0,0.0
chalífátu,0.0,0.0,0.0
Ibráhím,0.0,0.0,0.0
ibn,0.0,0.0,0.0
"Ja’kúb,",0.0,0.0,0.0
který,0.0,0.0,0.0
navštívil,0.0,0.0,1.0
české,0.0,0.0,0.0
země,0.0,0.0,0.0
někdy,0.0,0.0,0.0
v,1.0,1.0,1.0
šedesátých,0.0,0.0,0.0
letech,0.0,1.0,0.0
desátého,0.0,0.0,0.0
století.,0.0,0.0,0.0
Z,1.0,1.0,1.0
jeho,0.0,0.0,0.0
zprávy,0.0,0.0,0.0
se,0.0,0.0,0.0
zachoval,0.0,0.0,0.0
"úryvek,",0.0,0.0,0.0
který,0.0,0.0,0.0
"popisuje,",1.0,1.0,1.0
jak,0.0,0.0,0.0
čeští,0.0,0.0,0.0
Slované,0.0,0.0,0.0
užívají,0.0,0.0,0.0
při,1.0,1.0,1.0
obchodu,0.0,0.0,0.0
zvláštních,0.0,0.0,0.0
textilních,0.0,0.0,0.0
výrobků,0.0,0.0,0.0
standardní,0.0,0.0,0.0
"velikosti,",0.0,0.0,0.0
tkaných,0.0,0.0,0.0
tak,0.0,0.0,0.0
"řídce,",0.0,0.0,0.0
že,0.0,0.0,0.0
se,0.0,0.0,0.0
nehodí,0.0,0.0,0.0
v,1.0,1.0,1.0
praxi,0.0,0.0,0.0
k,1.0,1.0,1.0
ničemu,0.0,0.0,0.0
jinému,0.0,0.0,0.0
než,0.0,0.0,0.0
právě,1.0,1.0,1.0
ke,1.0,1.0,1.0
směňování.,0.0,0.0,0.0
Podle,1.0,1.0,1.0
córdobského,0.0,0.0,0.0
cestovatele,0.0,0.0,0.0
byl,0.0,0.0,0.0
poměr,0.0,0.0,0.0
oněch,0.0,0.0,0.0
šátečků,1.0,1.0,1.0
k,1.0,1.0,1.0
minci,0.0,0.0,0.0
ustálen,0.0,0.0,0.0
a,0.0,0.0,0.0
tento,0.0,0.0,0.0
