word,ann1
Kdyby,0
někdo,0
uspořádal,1
atletické,0
přebory,0
mezi,1
"opicemi,",0
sešla,1
by,0
se,0
na,0
stupních,1
vítězů,0
různých,0
disciplín,0
docela,0
pestrá,1
škála,0
druhů.,0
Většina,0
opic,0
„trénuje“,1
jen,0
jednu,0
disciplínu.,0
Někteří,0
opičí,0
atleti,1
jsou,0
např.,0
výborní,0
"sprinteři,",1
ale,0
skoky,0
do,0
dálky,0
či,0
plavání,0
jim,0
moc,0
nejde.,0
Každý,0
druh,0
totiž,0
trénuje,1
jen.1,0
"to,",0
co,0
ve,0
svém,0
prostředí,0
nutně,0
potřebuje,0
k,1
přežití.,0
V,1
tom,0
pak,0
ale.1,0
dosahuje,1
vynikajících,0
výsledků.,1
Sprintem,0
do.1,1
bezpečí.,0
Za,1
královskou,1
disciplínu,0
se.1,0
v,1
atletice,0
považuje,0
sprint.,0
I,0
když,0
by.1,0
se.2,1
mohlo,0
"zdát,",1
že,0
převážně,0
stromové,0
opice,0
moc.1,0
dobří,0
běžci,0
"nebudou,",0
opak,0
je,0
pravdou.,0
V.1,0
savanách,0
subsaharské,0
Afriky,0
žije,1
"kočkodan,",0
který,
díky,
svému,
„kníru“,
dostal,
jméno,
husarský,
(Erythrocebus,
patas).,
V.2,
jeho,
domovině,
moc.2,
stromů,
"neroste,",
během,
dne,
se.3,
proto,
pohybuje,
převážně.1,
na.1,
zemi,
a,
na.2,
stromy,
se.4,
uchyluje,
jen.2,
na.3,
noc.,
Na,
stromech,
nehledá,
ani,
bezpečí,
před,
nepřáteli,
a.1,
dává,
přednost,
rychlému,
útěku,
po,
zemi.,
Dokáže,
přitom,
vyvinout,
rychlost,
až,
55 km/hod.,
Žádná,
jiná,
opice.1,
tak,
rychle,
běhat,
"neumí,",
kočkodan,
husarský.1,
je.1,
proto.1,
držitelem,
rychlostního,
rekordu,
opičích,
atletů.,
Rekord,
bez,
rozběhu.,
Oblíbenou,
disciplínou,
mezi.1,
opicemi,
je.2,
skok,
do.2,
dálky.,
Málokterá,
má,
ale.2,
tak.1,
čistý,
"styl,",
jako,
madagaskarský,
indri,
(Indri,
indri).,
Ten,
se.5,
odráží,
jako.1,
lidé,
pouze,
zadními,
končetinami,
a.2,
během.1,
skoku,
drží,
tělo,
vzpřímeně.,
Zadní,
končetiny,
má.1,
mimořádně,
"silné,",
jejich,
mohutný,
odraz,
ho,
snadno,
přenese,
až.1,
na.4,
vzdálenost,
10 m.,
A,
protože,
se.6,
tento,
rekordní,
výkon,
odehrává,
vysoko,
v.1,
korunách,
"stromů,",
kde,
indri.1,
překonává,
vzdálenost.1,
mezi.2,
dvěma,
"kmeny,",
nemůže,
se.7,
rozběhnout.,
Celý,
ten,
desetimetrový,
skok.1,
zvládne,
odrazem,
z,
místa!,
"Kdoví,",
kam,
až.2,
by.2,
"doskočil,",
kdyby,
skákal,
s,
rozběhem.,
Neuvěřitelné,
výkony,
opic.,
Posilování,
s.1,
kamenem.,
Vzpěrač,
musí,
mít,
nejen,
silné,
"paže,",
ale.3,
i,
nohy,
a.3,
svalnatá,
"záda,",
s.2,
jejichž,
pomocí,
zdvihá,
zátěž,
nad,
hlavu.,
Přesně,
takto,
vypadají,
opičí.1,
vzpěrači,
malpy,
pruhohřbeté,
(Sapajus,
libidinosus).,
Až,
na.5,
drobný,
rozdíl -,
nevzpírají,
"činky,",
ale.4,
kameny.,
Živí,
se.8,
těmi,
nejtvrdšími,
"ořechy,",
jaké,
v.2,
jihoamerické,
džungli,
"rostou,",
a.4,
jako.2,
jediní,
zdejší,
obyvatelé,
si,
s.3,
jejich.1,
skořápkou,
umí,
poradit.,
Malpa,
si.1,
ořech,
položí,
na.6,
vystouplý,
"kořen,",
nad.1,
hlavu,
zvedne,
co.1,
nejtěžší,
kámen,
a.5,
jeho.1,
vahou,
skořápku,
rozbije.,
Než,
se.9,
"naobědvá,",
mnohokrát,
tento.1,
vzpěračský,
výkon.1,
zopakuje.,
A.1,
protože.1,
si.2,
nikdy,
není,
"jistá,",
že.1,
najde,
vhodný,
kámen.1,
"pokaždé,",
když.1,
ho.1,
"potřebuje,",
posiluje,
i.1,
za,
chůze -,
pro,
jistotu,
si.3,
ho.2,
nosí,
s.4,
sebou.,
Rybařící,
opice.,
Plavání,
se.10,
mnoho,
opic.1,
nevěnuje.,
Plavecký,
přeborník,
makak,
jávský,
(Macaca,
fascicularis),
proto.2,
nemá,
velkou,
konkurenci.,
Navzdory,
českému,
jménu,
nežije,
jen.3,
na.7,
"Jávě,",
obývá,
všechny,
indonéské,
"ostrovy,",
běžný,
je.3,
i.2,
v.3,
téměř,
celé,
Zadní.1,
Indii.,
Nejraději,
má.2,
hustě,
zalesněné,
břehy,
řek,
nebo,
pobřežní,
mangrovy.,
Blízkost,
vody,
vyhledává,
"záměrně,",
je.4,
vynikající,
plavec,
a.6,
ve.1,
vodě,
nehledá.1,
jen.4,
"potravu,",
ale.5,
i.3,
záchranu,
před.1,
predátory.,
I.1,
k.1,
odpočinku,
si.4,
vybírá,
"stromy,",
jejichž.1,
větve,
sahají,
nad.2,
"hladinu,",
aby,
mohl,
v.3,
případě,
nebezpečí,
jen.5,
seskočit,
a.7,
rychle.1,
odplavat,
pryč.,
O,
"tom,",
jak,
skvělý,
je.5,
"plavec,",
svědčí,
"to,.1",
že.2,
má.3,
ve.2,
svém.1,
pestrém,
jídelníčku,
zařazeny,
i.4,
"ryby,",
které,
si.5,
dovede,
ve.3,
vodě.1,
sám,
ulovit.,
Bez,
"udice,",
jen.6,
tak.2,
rukama!,
Vzdušní,
akrobaté.,
Nejoblíbenějším,
opičím,
sportem,
je.6,
sportovní,
gymnastika.,
Ale,
výkony.1,
některých,
druhů,
už,
hraničí,
se.11,
vzdušnou,
"akrobacií,",
v.4,
níž,
jsou.1,
jednoznačně,
nejlepší,
giboni,
(čeleď,
Hylobatidae).,
Z,
místa,
na.8,
místo,
se.12,
přemísťují,
originálním,
"způsobem,",
při,
němž,
místo.1,
nohou,
používají,
paže.,
Jejich,
"pohyb,",
kdy,
se.13,
mohutným,
zhoupnutím,
a.8,
švihem,
paže,
přemísťují.1,
z.1,
jedné,
větve.1,
na.9,
"druhou,",
se.14,
odborně,
jmenuje,
brachiace,
a.9,
gibboni,
v.5,
něm,
překonávají,
nejeden,
atletický,
rekord.,
Mohou,
takto.1,
vzduchem,
létat,
rychlostí,
až.3,
"55 km/hod.,",
tj.,
stejně,
rychle.2,
jako.3,
nejrychlejší,
opičí.2,
"sprinter,",
a.10,
překonávají.1,
vzdálenost.2,
až.4,
"15 m,",
jsou.2,
tedy,
lepší,
než,
dálkař,
indri.,
Zato,
v.6,
plavání.1,
by.3,
zcela,
propadli -,
plavat,
neumí,
vůbec.,
