word,ann1,ann2,ann3
Když,0,0,0
po,1,1,1
představení,0,0,0
vyšel,0,0,0
"ven,",0,0,0
byla,0,0,0
už,0,0,0
tma.,0,0,0
Na,1,1,1
rohu,1,1,1
Spálené,0,0,0
ulice,0,0,0
uviděl,0,0,0
dva,0,0,0
muže,0,0,0
v,0,0,1
zakrvácených,0,0,0
gumových,0,0,0
zástěrách,0,0,0
prodávající,0,0,0
"kapry,",0,0,0
voda,0,0,0
ze,0,0,0
žlutých,0,0,0
kádí,0,0,0
přetékala,0,0,0
přes,0,0,0
okraj,0,0,0
na,0,0,0
"chodník,",0,0,0
kde,0,0,0
přimrzala.,0,0,0
Obchody,0,0,0
už,0,0,0
pomalu,1,1,1
"zavíraly,",1,1,1
ale,0,0,0
na,1,1,1
Staroměstském,0,0,0
náměstí,0,0,0
bylo,0,0,0
dosud,0,0,0
rušno:,0,0,0
vyhrávaly,0,1,0
tu,0,1,0
koledy,0,0,0
a,0,0,0
pod,0,0,0
vysokou,0,0,0
rozzářenou,1,1,1
jedlí,0,0,0
stála,0,0,1
realistická,0,0,0
maketa,0,0,0
chléva,0,0,0
s,0,0,1
"opravdovými,",0,0,0
živými,0,0,0
"zvířaty,",0,0,0
která,0,0,0
si,0,0,0
kolemjdoucí,0,0,0
děti,0,0,0
mohly,0,0,0
pohladit.,0,0,0
Oskar,0,0,0
u,0,0,1
jednoho,0,0,1
z,0,1,1
početných,0,0,0
stánků,0,0,0
vypil,0,0,0
dva,0,0,0
kelímky,0,0,0
svařeného,0,0,0
vína,0,0,0
a,0,0,0
vydal,1,0,1
se,0,0,0
domů.,0,0,0
Když,0,0,0
ve,0,1,1
své,1,0,1
čtvrti,1,0,0
vystupoval,0,0,0
z,0,0,0
"tramvaje,",0,0,0
všiml,0,0,0
si,0,0,0
"drobné,",0,0,0
nepříliš,0,0,0
hezké,0,0,0
mladé,0,0,0
"ženy,",0,0,0
prodávající,0,0,0
na,0,1,1
téměř,0,0,0
liduprázdném,0,0,0
náměstí,0,0,0
vánoční,0,0,0
"stromky,",0,0,0
vypadala,0,0,0
v,0,0,1
té,0,0,0
své,1,0,0
dřevěné,0,0,0
ohrádce,0,0,0
tak,0,0,0
promrzle,0,0,1
a,0,0,0
"osaměle,",1,0,0
až,1,1,0
jí,0,0,0
Oskarovi,0,0,0
přišlo,1,1,1
líto.,0,0,0
Od,1,1,1
rozvodu,0,1,0
si,0,0,0
vánoční,0,0,0
stromek,0,0,0
nekoupil,0,0,0
ani,0,0,0
"jedenkrát,",0,0,0
ale,0,0,0
nyní,0,0,0
ho,0,0,0
vypité,0,0,0
víno,0,0,0
a,0,0,0
možná,0,0,0
i,0,0,0
jakýsi,0,0,0
neurčitý,0,0,0
chvilkový,0,0,0
sentiment,0,0,0
přiměly,1,0,0
udělat,1,0,1
výjimku.,0,0,0
Nebyl,0,0,0
si,0,0,0
sice,0,0,0
"jistý,",0,0,1
jestli,0,0,0
se,0,0,0
dokáže,0,0,1
na,1,1,1
prodavačku,0,0,0
aspoň,0,0,0
trochu,0,0,0
usmívat,0,0,0
ale,0,0,0
podařilo,0,0,0
se,0,0,0
mu,0,0,0
to.,0,0,0
„Dobrý,1,1,1
"večer,”",0,0,0
promluvil.,0,0,0
„Nějaký,0,0,0
malý,0,0,0
prosím,0,0,0
vás.”,0,0,0
"Vědomí,",0,0,1
že,0,0,0
dělá,0,0,0
"dobrý,",0,0,0
ne-li,0,0,0
přímo,1,1,1
křesťanský,0,0,1
skutek,0,0,0
mu,0,0,0
dokonce,0,0,0
přineslo,1,1,1
jisté,0,1,1
malé,1,0,1
sebeuspokojení.,0,0,0
„Smrček?”,0,0,0
zeptala,0,0,0
se.,0,0,0
