word,ann1
Ráno,0
nám,0
přijeli,0
odpojit,0
"elektřinu,",0
protože,0
nemáme,0
zaplacené,0
účty.,0
Josef,0
se,0
nás,0
snažil,0
"přesvědčit,",0
že,0
elektřinu,0
vlastně,0
dohromady,0
na,1
nic,0
nepotřebujeme,0
a,0
kromě,0
toho,0
je,0
předražená.,0
Topit,0
můžeme,0
v,0
kachlových,0
"kamnech,",0
svítit,0
petrolejovými,0
lampami,0
a.1,0
vodu,0
ohřívat,0
v.1,0
"kotli,",0
jak,0
se.1,0
to,0
na.1,0
Kostce,0
dělávalo,0
až,0
do,1
roku,0
1927.0,0.0
Svůj,0
proslov,0
zakončil,0
odvážným,0
"tvrzením,",0
že.1,0
elektrický,0
proud,1
působí,1
na.2,1
psychiku,0
a.2,0
dělá,1
lidi,0
nervózními.,0
Mě,0
ovšem,0
mnohem,0
víc,0
znervóznila,1
"představa,",0
jak.1,0
si,0
suším,0
vlasy,0
nad,0
ohněm.,0
Na,0
moji,0
stranu,1
se.2,0
přidal,0
i,0
dosud,0
k,1
Josefovi,0
zcela,0
loajální,0
a.3,0
submisivní,0
pan,0
"Spock,",0
který,0
se.3,0
odvážil,0
"namítnout,",0
že.2,0
obsluha,0
kachlových.1,0
kamen,0
čítala,0
tři,0
"lidi,",0
kteří,0
celou,0
zimu,0
nedělali,0
nic.1,0
"jiného,",0
než,0
běhali,1
po,0
zámku,0
a.4,0
přikládali.,1
Už,0
dost,0
na.3,1
"tom,",0
že.3,0
jako,0
hypertonik,0
musí,0
topit,0
ve,0
skleníku.,0
Matce,0
jsem,0
Josefovo,0
blouznění,0
překládala,1
raději,0
jen,0
"namátkově,",0
protože.1,0
jsem.1,0
se.4,0
"obávala,",0
že.4,0
by,0
s,1
jeho,0
argumenty,0
byla,0
schopná,0
souhlasit.,0
Návratu,0
Kostky,0
do.1,1
devatenáctého,0
století,0
zabránila,0
paní,0
"Tichá,",0
která,0
pohrozila,0
okamžitou,0
"výpovědí,",0
pokud,0
jí,0
nepojede,1
"vysavač,",0
mražáky,0
a.5,0
umělá,0
líheň,0
na.4,1
kuřata.,0
Otec,0
tedy,0
uprosil,0
muže,0
od,1
elektrárenské,0
"společnosti,",0
aby,0
nám.1,0
elektřinu.1,0
"neodpojovali,",0
oblekl,0
si.1,0
blejzr,0
a.6,0
odjel,0
s.1,0
nimi,0
na.5,0
ředitelství.,0
Odpoledne,0
jsem.2,0
s.2,0
paní.1,0
Tichou,0
vysávala,0
Himmlerovo,0
apartmá.,0
Ty,0
čtyři,0
"místnosti,",0
kde,0
několikrát,0
přenocoval,0
Heinrich,0
"Himmler,",0
jsou,0
mnohem.1,0
útulnější,0
než.1,0
náš,0
byt,0
a.7,0
hlavně -,0
mají,0
koupelnu!,0
Požádala,0
jsem.3,0
"matku,",0
aby.1,0
se.5,0
nad.1,1
touto,0
skutečností,0
alespoň,0
"zamyslela,",0
ale,0
odmítla,0
s.3,1
"tím,",0
že.5,0
nebude,0
bydlet,0
v.2,1
bytě,0
po.1,1
nacistickém,0
"hrdlořezovi,",0
kvůli,0
němuž,0
padl,1
její,0
dědeček,0
Joe.,0
Moji,0
"námitku,",0
že.6,0
jejího,0
dědečka,0
zastřelili,0
Japonci,0
na.6,0
"Filipínách,",0
přešla,1
mávnutím,0
ruky.,0
Josef.1,0
by.1,0
proti,1
našemu,0
přestěhování,0
kupodivu,0
nic.2,0
"neměl,",0
jenom,0
mě,0
"upozornil,",0
že.7,0
Himmlerovo.1,0
apartmá,0
je.1,0
v.3,0
návštěvnické,0
"trase,",0
takže,0
bychom,0
se.6,0
museli,0
smířit,0
s.4,1
"tím,.1",0
že.8,0
nám.2,0
přes,0
byt.1,0
budou,0
chodit,0
mufloni.,1
Na.1,1
můj,0
udivený,0
"dotaz,",0
proč,0
chodí,0
k.1,1
Himmlerovi,0
"mufloni,",0
kde.1,0
se.7,0
berou,0
a.8,0
jak.2,0
se.8,0
tam,0
"dostanou,",0
mi,0
"řekl,",0
že.9,0
muflon,0
je.2,0
slangový,0
výraz,0
pro,0
návštěvníka.,0
To,0
mě.1,0
"uklidnilo,",0
protože.2,0
jsem.4,0
si.2,0
"myslela,",0
že.10,0
jde,1
zas,0
o,1
nějakou,0
divnou,0
rodovou,0
tradici,0
a.9,0
my,0
budeme,0
přímo,0
v.4,1
zámku.1,0
muset,0
opatrovat,0
stádo,0
zvířat.,0
Potom,0
lstivě,0
"dodal,",0
že.11,0
kdybychom,0
Kostku,0
pro.1,0
muflony,1
"uzavřeli,",0
můžeme.1,0
"bydlet,",0
kde.2,0
se.9,0
nám.3,0
zlíbí.,0
Řekla,0
jsem.5,0
"mu,",0
že.12,0
o.1,1
tom,0
budu,0
"přemýšlet,",0
ale.1,0
vzhledem,0
k.2,1
naší,0
finanční,0
situaci,0
je.3,0
"jasné,",1
že.13,0
muflony.1,1
a.10,0
jejich,0
peníze,0
budeme.1,0
potřebovat.,0
Otec.1,0
se.10,0
vrátil,0
zasmušilý.,0
Elektřinu,0
sice,0
"zachránil,",0
ale.2,0
Bendova,0
půjčka,0
se.11,1
opět,0
výrazně,0
scvrkla.,1
Celý,0
večer,0
si.3,0
hrál,0
ve.1,0
svém,0
pokoji,0
s.5,0
Olinem,0
a.11,0
"Laďou,",0
přičemž,0
jim,0
"říkal,",0
jak.3,0
jim.1,0
"závidí,",0
že.14,0
nemají,0
zámek,0
a.12,0
dluhy.,0
Já,0
jsem.6,0
si.4,0
střídavě,0
četla,0
Bibli,0
a.13,0
deník,0
Václava,0
Antonína-,0
"toho,",0
který.1,0
zajal,0
harém,0
a.14,0
přivezl,0
si.5,0
jej,0
na.7,0
"Kostku,",0
aniž,0
by.2,0
mu,0
"překáželo,",1
že.15,0
je.4,0
ženatý.,0
Popisy,0
jeho.1,0
sexuálních,0
praktik,0
jsou.1,0
doprovázeny,1
"kresbami,",0
takže.1,0
to.1,0
vypadá,0
jako.1,0
pornografický,0
komiks.,0
Václav,0
Antonín,0
si.6,0
nepochybně,0
právem,0
vysloužil,0
v.5,1
rodových,0
dějinách,0
přezdívku,0
Velký,0
Prasák.,0
Po,1
přehlídce,0
těch,0
nejbizarnějších,0
a.15,0
nejnepravděpodobnějších,0
poloh,0
jsem.7,0
se.12,0
na.8,1
Skutky,0
apoštolů,0
soustředila,0
jen.1,0
s.6,1
nejvyšším,1
vypětím.,1
V,1
noci,0
se.13,0
mi.1,0
zdálo,0
o.2,1
břišních,0
tanečnicích.,0
U,1
snídaně,0
byl,0
otec,0
stále,0
zasmušilý..1,0
Pozoroval,0
Olina,0
s.7,1
"Laďou,.1",0
jak.4,0
chlemtají,0
kuřecí,0
vývar,0
z,0
desetilitrového,0
"kastrolu,",0
a.16,0
ztrápeným,0
hlasem,0
je.5,0
"pobízel,",0
ať,0
se.14,0
nají,0
do.2,1
"zásoby,",0
protože.3,0
bída,0
a.17,0
hlad,0
už,0
stojí,1
za,0
dveřmi.,1
Nevím,0
jak.5,0
"bída,",0
ale.3,0
hlad.1,0
za.1,0
dveřmi,1
určitě,0
nestojí.,1
Zásoby,0
masa,0
odhaduji,0
tak,0
na.9,1
rok.,0
Dnes,0
v.6,1
noci.1,0
se.15,0
v.7,1
umělé,0
líhni,0
narodila,0
další,0
várka,1
housat.,0
Ostatně,0
co,0
se.16,0
stravy,0
týká-,0
jsem.8,0
"překvapená,",0
jak.6,0
rychle,0
jsem.9,0
si.7,0
zvykla,0
na.10,1
kuchyni,1
paní.2,0
Tiché.,0
Ještě,0
před,1
měsícem,0
bych,0
"nevěřila,",0
že.16,0
se.17,0
dají,0
sníst,0
napohled,0
tak.1,0
odpudivé,0
věci,0
jako.2,0
"tlačenka,",0
pajšl,0
nebo,0
lečo.,0
Kupodivu,0
jsem.10,0
zvládla,0
i.1,0
zabijačkovou,0
"polévku,",0
přestože,0
jsem.11,0
stále.1,0
"přesvědčená,",0
že.17,0
jídlo,0
by.3,0
nemělo,0
mít,0
černou,0
barvu.,0
Taky,0
už.1,0
umím,0
"oškubat,",0
vykuchat,0
a.18,0
naporcovat,0
drůbež,0
a.19,0
dnes,0
jsem.12,0
poprvé,0
smažila,0
vepřové,0
řízky.,0
