word,ann1
Po,1
dvaceti,0
letech,0
konečně,0
vidíme,0
na,0
konci,0
dlouhého,0
a,0
vysilujícího,1
tunelu,1
první,0
paprsky,1
světla.,1
Jak,0
upozorňoval,0
pan,0
poslanec,0
Milana,0
a.1,0
"další,",0
ještě,0
mnoho,0
toho,0
zbývá,0
"udělat,",0
ale,0
mnozí,0
z,0
nás,0
se,0
připravovali,0
na.1,1
nejhorší,0
a.2,0
"očekávali,",0
že,0
znovu,0
propukne,0
občanská,0
válka.,0
Blahopřeji,0
proto,0
severu,0
i,0
jihu,0
země,0
k,1
prvním,0
výsledkům,0
tohoto,0
referenda.,0
Až,0
do,0
vyhlášení,1
nezávislosti,0
záleží,0
na.2,1
každém,0
dni.,0
Nikdo,0
si,0
nemůže,0
dovolit,0
udělat,0
chybný,1
"krok,",1
ani,0
v,0
"Chartúmu,",0
ani.1,0
v.1,0
"Jubě,",0
ani.2,0
v.2,0
Bruselu,0
nebo,0
v.3,0
Africké,0
unii,0
v.4,0
Addis,0
Abebě.,0
Například,0
je,0
určitě,0
zapotřebí,0
uvítat,1
myšlenku,0
otevřít,1
delegaci,0
EU,0
se.1,0
zvláštním,0
"statusem,",0
dokud,0
nebude,0
skutečně,0
vyhlášena,1
nezávislost.,0
Súdán,0
se.2,0
chystá,1
"nám,",0
mezinárodnímu,0
"společenství,",0
pěkně,1
spočítat,1
cynismus,0
a.3,0
"krize,",0
které,0
mnohdy,0
spíše,0
z.1,1
rezignace,1
než,0
jiného,0
důvodu,0
považujeme,0
za,1
neřešitelné.,0
Pane,0
"předsedající,",0
"vítám,",0
že.1,0
jižní,0
Súdán.1,0
bude,0
"nezávislý,",0
a.4,0
blahopřeji,0
obyvatelům,0
jižního,0
Súdánu,0
k.1,1
"tomu,",0
že.2,0
toho.1,0
dosáhli.,1
Jak.1,0
před,1
chvílí,0
řekl,0
pan.1,0
kolega,0
poslanec.1,0
"Goerens,",0
jenž,0
byl,0
tak,0
laskav,0
a.5,0
obrátil,0
se.3,0
při,1
této,0
příležitosti,0
na.3,1
"mne,",0
lidé,0
mohou,0
mít,1
právo,0
na.4,1
"to,",0
aby,0
nemuseli,0
žít,0
podle,1
práva,0
šaría.,0
Jejich,0
právo.1,0
musíme,0
ctít.,1
Musím,0
nicméně,0
také,0
"podotknout,",0
že.3,0
jen,0
někteří,0
mají,1
to,0
"štěstí,",0
že.4,0
dostanou,1
možnost,0
získat,1
právo.2,0
na.5,1
takovou,0
svobodu.,0
Obyvatelé,0
nedalekého,0
Somálijska,0
tuto,0
možnost.1,0
nemají.,1
Přál,0
bych,0
