word,ann3,ann2,ann1
"Sháněl,",0.0,1.0,0.0
zabíjel,0.0,0.0,0.0
a,0.0,0.0,0.0
smažil,0.0,0.0,0.0
"kapry,",0.0,0.0,0.0
kupoval,0.0,0.0,0.0
a,0.0,0.0,0.0
zdobil,0.0,0.0,0.0
"stromek,",0.0,0.0,0.0
pečlivě,0.0,0.0,0.0
balil,0.0,0.0,0.0
dárky,0.0,0.0,0.0
a,0.0,0.0,0.0
k,1.0,1.0,1.0
večeři,0.0,0.0,0.0
se,0.0,0.0,0.0
převlékal,0.0,0.0,0.0
do,1.0,0.0,0.0
slavnostního.,0.0,0.0,0.0
Všechny,0.0,0.0,0.0
ty,0.0,0.0,0.0
obvyklé,0.0,0.0,0.0
věci.,0.0,0.0,0.0
Když,0.0,0.0,0.0
se,0.0,0.0,0.0
před,1.0,1.0,1.0
třemi,0.0,0.0,0.0
lety,0.0,0.0,0.0
"rozvedl,",0.0,0.0,0.0
Vánoce,0.0,0.0,0.0
pro,0.0,0.0,0.0
něho,0.0,0.0,0.0
prakticky,0.0,0.0,0.0
ztratily,1.0,1.0,0.0
smysl.,0.0,0.0,0.0
Také,0.0,0.0,0.0
letošní,0.0,0.0,0.0
svátky,0.0,0.0,0.0
klidu,0.0,0.0,0.0
a,0.0,0.0,0.0
míru,0.0,0.0,0.0
byly,0.0,0.0,0.0
jen,0.0,0.0,0.0
nepříjemnou,0.0,0.0,0.0
připomínkou,0.0,0.0,0.0
"skutečnosti,",0.0,0.0,0.0
že,0.0,0.0,0.0
bez,0.0,0.0,0.0
rodiny,0.0,0.0,0.0
není,0.0,0.0,0.0
jaksi,0.0,0.0,0.0
co,0.0,0.0,0.0
oslavovat.,0.0,0.0,0.0
Oskar,0.0,0.0,0.0
sice,0.0,0.0,0.0
zrovna,0.0,0.0,0.0
chodil,1.0,1.0,0.0
s,0.0,0.0,0.0
jistou,0.0,1.0,0.0
mladou,0.0,0.0,0.0
"dívkou,",0.0,0.0,0.0
ale,0.0,0.0,0.0
tu,0.0,0.0,0.0
tak,0.0,0.0,0.0
často,0.0,0.0,0.0
přesvědčoval,0.0,0.0,0.0
o,0.0,0.0,0.0
své,0.0,0.0,0.0
potřebě,0.0,0.0,0.0
samoty,0.0,0.0,0.0
a,0.0,0.0,0.0
"nezávislosti,",0.0,0.0,0.0
že,0.0,0.0,0.0
ji,0.0,0.0,0.0
po,0.0,0.0,0.0
