words,labels
Rád,0
věděl,0
"bych,",0
proč,0
pravě,0
nyní,0
vzkvétá,1
v,0
mé,0
duši,0
smutek,1
s,1
chladným,0
podzimem.,1
Nevím,0
"přec,",0
proč,0
bych,0
litovat,0
měl,0
"léta,",0
jež,0
nezažehlo,1
ohně,1
v,1
srdci,1
mém.,0
Večerní,0
mlha,0
lehla,1
na,0
dláždění.,0
A,0
připadá,0
mi,0
všecko,0
jako,0
"sen,",0
ty,0
"hlasy,",0
jejichž,0
zvuk,0
mi,0
známý,0
"není,",0
ty,0
cizí,0
tváře,0
v,0
záři,0
svítilen.,0
A,0
"cítím,",0
kterak,0
zvolna,0
v,0
duši,0
moji,0
nového,0
cosi,0
teskně,0
vstoupilo,1
jak,0
"vzpomínka,",0
jež,0
přesnosti,0
se,0
"bojí,",0
vzpomínka,0
na,0
"něco,",0
co,0
nebylo:,0
Na,0
něžná,0
"slova,",0
kterých,0
neslyšel,0
"jsem,",0
na,0
teplo,0
"krbu,",0
jež,0
mne,0
"nehřálo,",0
na,0
"všechno,",0
o,0
čem,0
snad,0
kdys,0
přemýšlel,0
"jsem,",0
co,0
se,0
však,0
nikdy,0
skutkem,0
nestalo.,0
Na,0
souzvuk,1
"srdcí,",1
jenž,0
mne,0
"nedojímal,",0
na,0
věrných,1
rukou,1
vřelé,1
"soužití,",1
na,0
duše,1
"klid,",1
který,0
mne,0
neobjímal,1
a,0
po,0
kterém,0
jsem,0
přestal,0
toužiti.,0
Na,0
krásu,0
"jara,",0
kterou,0
nepoznal,0
"jsem,",0
na,0
jeho,0
snů,0
a,0
touhy,0
sladký,1
"hlas,",1
na,0
mladé,0
"dívky,",0
kterým,0
nelíbal,0
jsem,0
v,0
záchvatech,0
něhy,0
"dlouhý,",0
měkký,0
vlas.,0
Je,0
večer,0
modravý,0
a,0
Petřín,1
zmrzle,0
dýchá,1
Věčně,0
žít,0
s,0
pohledem,0
upřeným,0
na,0
Prahu,0
Má,0
modrá,0
hodina,1
je,0
pokorná,1
a,0
tichá,1
Tu,0
dává,1
"naději,",1
tu,0
bere,1
odvahu,1
Tou,0
modří,0
"posedlý,",0
jež,0
nebi,1
kane,1
z,1
rány,1
Tou,0
modří,1
večerní,0
tříštěnou,1
do,1
střepů,1
Tou,0
modří,1
na,1
"křídlech,",1
co,0
roznášejí,0
vrány,0
Tou,0
modří,0
procházím,0
bosý,0
a,0
poslepu,0
Po,0
ničem,0
"netoužím,",0
jen,0
zadržet,0
tu,0
chvíli,0
Sám,0
sebe,0
za,1
slova,1
však,0
chytit,1
nemám,0
sil,0
Duše,0
je,0
na,0
dosah,0
a,0
hodina,0
se,0
chýlí,0
Den,1
padá,1
do,1
temnot,1
a,0
mne,0
tu,0
zůstavil,0
Tak,0
jako,0
tak,0
se,0
ale,0
oko,0
kalí,0
V,0
"místech,",0
kde,0
jsme,0
se,0
milovali,0
Už,0
se,0
mi,0
k,1
smrti,1
protiví,1
ve,0
svých,0
citech,0
se,0
nimrat.,0
Už,0
se,0
mi,0
k,1
smrti,1
protiví,1
bolestí,1
svou,0
se,0
šimrat.,1
Nejlépe,0
bylo,0
by,0
přetrhnout,1
všechna,0
pouta,1
a,0
"svazky,",1
minulost,0
svoji,0
"zavrhnout,",1
zříci,0
se,0
poslední,0
"lásky,",0
cynickým,0
smíchem,1
zabušit,1
v,0
marnou,0
ješitnost,1
"svoji,",0
stesk,1
svého,0
srdce,1
přehlušit,1
"bouřemi,",1
bídou,0
a,0
boji.,0
Nejlépe,0
bylo,0
by,0
vzdálit,0
se,0
a,0
nikdy,0
se,0
"nenavrátit,",0
svým,0
bližním,0
a,0
nejbližším,0
ztratit,0
"se,",0
a,0
sám,0
sobě,0
se,0
ztratit.,0
